,id,text,score,predicted_label,true_label
352,ger-mssge-353,Diese Art von Polizistenhass sollte im Internet nicht erlaubt sein.,0.17718399,0,1
346,ger-mssge-347,"Alle ""Patrioten"" sollten von einer Klippe gestoßen werden!",0.62136006,1,1
215,ger-mssge-216,Die Grünen sollten auf der Stelle erschossen werden!,0.6943677,1,1
289,ger-mssge-290,"Religiöse Fundis sollten gekreuzigt werden, mal sehen wer dann ein vergeudetes Leben hat!",0.44942492,0,1
394,ger-mssge-395,cars_l_personal.jpeg,0.015770407,0,1
363,ger-mssge-364,"Ja, lasst uns die Polizei abschaffen und sehen, wie lange ihr durchhaltet!",0.1269396,0,1
208,ger-mssge-209,Es wird Zeit dass die Grünen endlich entlarvt und aufgelöst werden!,0.3481519,0,1
331,ger-mssge-332,Du verdienst einen Schlag in die Fresse.,0.7675452,1,1
258,ger-mssge-259,Verprügelt die Homo-Hasser.,0.6615786,1,1
75,ger-mssge-76,Hast du Angst deinen liebgewordenen Drogendealer zu verlieren? :D,0.25462922,0,1
252,ger-mssge-253,Homophobe gehören ins Gefängnis!,0.3234372,0,1
315,ger-mssge-316,Kapitalisten verdienen es auf der Straße verprügelt zu werden.,0.61223894,1,1
298,ger-mssge-299,Du bist ein totaler Schwachkopf - Kommunist.,0.84251964,1,1
181,ger-mssge-182,Diese linken Arschlöscher verstehen einfach keinen Witz.,0.743089,1,1
109,ger-mssge-110,Rassisten sind bigotte Arschlöcher.,0.85850734,1,1
326,ger-mssge-327,Du Idiotin bist eine undankbare Verräterin.,0.83943826,1,1
213,ger-mssge-214,Den Grünen sollte man ihre Dummheit heraus prügeln.,0.718943,1,1
77,ger-mssge-78,immigrants_l_personal.jpeg,0.051810697,0,1
277,ger-mssge-278,"Genau, und die Atheisten haben so viel Gutes für die Gesellschaft getan ja? :D",0.112643376,0,1
402,ger-mssge-403,SUV-Fahrer brauchen einen kräftigen Tritt in den Hintern.,0.7570315,1,1
300,ger-mssge-301,"Du bist fauler, kommunistischer Abschaum!",0.8685752,1,1
