,ids,text,score,predicted_label,true_label,toxic,derogeratory
163,tur-mssge-164,İklim şüphecileri bilimi takip edemeyecek kadar aptal.,0.5507316589355469,1,1,0.5334867238998413,0.21183282136917114
84,tur-mssge-85,"Umarım biri seni evire çevire döver, yabancı düşmanı.",0.43103447556495667,0,1,0.10083770751953125,0.016035471111536026
303,tur-mssge-304,Kapitalistler kalpsiz piçlerdir.,0.8500000238418579,1,1,0.6909795999526978,0.5643365383148193
192,tur-mssge-193,Sen sadece ergen bir trolsün.,0.584912121295929,1,1,0.5334867238998413,0.028921332210302353
165,tur-mssge-166,İklim şüphecileri bilimi takip edemiyor çünkü beyinleri çok küçük!,0.6277472376823425,1,1,0.6252923011779785,0.45523861050605774
141,tur-mssge-142,Et yiyicilerin etlerinin kesilip satılması gerek!,0.6459627151489258,1,1,0.043621379882097244,0.008934381417930126
310,tur-mssge-311,Umarım biri kelleni bir mızrağa asar!,0.15932203829288483,0,1,0.0372374951839447,0.003941651433706284
323,tur-mssge-324,Hainlerin kökünün böcekler gibi kazınması lazım!,0.6808726787567139,1,1,0.6808726787567139,0.5643365383148193
51,tur-mssge-52,Sen salak bir ev hanımısın.,0.10230179131031036,0,1,0.0187707357108593,0.003573743626475334
358,tur-mssge-359,Tüm polisleri içeri almak gerek!,0.9623875617980957,1,1,0.043621379882097244,0.007179487496614456
245,tur-mssge-246,Homofobik aşırılıkçılık yasaklanmalı,0.8370044231414795,1,1,0.47190821170806885,0.4942249357700348
212,tur-mssge-213,Seni gördüğüm yerde indirmem lazım.,0.1897590309381485,0,1,0.0187707357108593,0.003573743626475334
24,tur-mssge-25,Umarım biri seni evire çevire döver.,0.35227271914482117,0,1,0.09080997109413147,0.008934381417930126
380,tur-mssge-381,Spor arabamı üzerine sürmek istiyorum!,0.05986696109175682,0,1,0.043621379882097244,0.005186695139855146
67,tur-mssge-68,Göçmenler pislik farelerdir!,0.893203854560852,1,1,0.7247063517570496,0.6144412755966187
3,tur-mssge-4,Seni ağlak gerizekalı,0.8854625821113586,1,1,0.029414838179945946,0.005186695139855146
