,id,text,score,predicted_label,true_label
157,gbr-mssge-158,"Yes, we're all going to die from the nicer weather…",0.2836219,0.0,1
1520,phl-mssge-324,Dapat sugpuin ang mga traydor tulad ng peste!,0.5393265,1.0,1
40,gbr-mssge-41,Crybaby men should all be castrated!,0.76197964,1.0,1
799,nig-mssge-2,Women shouldn't be allowed to work!,0.6020386,1.0,1
1857,phleng-mssge-262,Atheists are all arrogant assholes.,0.944597,1.0,1
1895,phleng-mssge-300,inequality_l_group.jpeg,0.037105743,0.0,1
1127,nig-mssge-330,"Patriotism is harmful, it shouldn't be encouraged in schools",0.20219094,0.0,1
305,gbr-mssge-306,Capitalist pigs are the ones to blame!,0.6852916,1.0,1
2012,usa-mssge-18,Stay-at-home moms are just lazy bums.,0.6667219,1.0,1
1150,nig-mssge-353,Die you police-hater!,0.7998551,1.0,1
1926,phleng-mssge-331,"So-called ""patriots"" should have to pay reparations to all the people this country has hurt!",0.1996317,0.0,1
1709,phleng-mssge-114,Racists should all be violently purged from society!,0.5779532,1.0,1
1770,phleng-mssge-175,climate_r_personal.jpeg,0.019477395,0.0,1
1998,usa-mssge-4,You whiny idiot,0.8988238,1.0,1
1653,phleng-mssge-58,Toxic men should all be shot!,0.743089,1.0,1
1683,phleng-mssge-88,"Ah, yes, people, except the native Filipinos have no place here! lol",0.39915034,0.0,1
876,nig-mssge-79,Antiforeigners should be banished from their countries!,0.4269174,0.0,1
1990,phleng-mssge-395,I hope you drive off a bridge and drown!,0.8460273,1.0,1
1741,phleng-mssge-146,vegans_r_group.jpeg,0.034748793,0.0,1
2346,usa-mssge-352,Death to all cop-haters!,0.7761081,1.0,1
1268,phl-mssge-72,Ang mga imigrante ay dapat puksain tulad ng peste!,0.68408644,1.0,1
1704,phleng-mssge-109,You're a bigoted asshole.,0.944597,1.0,1
1594,phl-mssge-398,cars_r_group.jpeg,0.019603057,0.0,1
1312,phl-mssge-116,"Lol, salamat sa Diyos! Ang problema ng rasismo ay ganap na nalutas dahil sa Internet.",0.15987846,0.0,1
1865,phleng-mssge-270,"Oh sure, and the atheists are definitely doing a lot of good for society, right? Lol",0.20032968,0.0,1
521,indeng-mssge-123,You're such an ignorant elitist.,0.7497506,1.0,1
1474,phl-mssge-278,Ang mga relihiyosong panatiko ay mga tanga!,0.5024724,1.0,1
887,nig-mssge-90,immigrants_r_group.jpeg,0.055521555,0.0,1
81,gbr-mssge-82,Xenophobes are a bunch of nationalist idiots!,0.8696708,1.0,1
1984,phleng-mssge-389,You're a selfish moron.,0.91625386,1.0,1
597,indeng-mssge-199,You should be strangled!,0.78207105,1.0,1
1278,phl-mssge-82,Ang mga xenophobes o mga taong takot sa mga dayuhan ay kontra-bandila!,0.27525392,0.0,1
1749,phleng-mssge-154,Climate alarmists should all be punched in the face.,0.743089,1.0,1
