,id,text,score,predicted_label,true_label
258,bra-mssge-259,Morte a todos homossexuais!,0.9288007,1,1
64,bra-mssge-65,O governo deveria deportar mais!,0.2854733,0,1
352,bra-mssge-353,Todos os traidores deveriam levar porrada na cara.,0.7510937,1,1
415,bra-mssge-416,Eu adoraria te atropelar com minha caminhonete!,0.70054704,1,1
435,bra-mssge-436,cars_r_personal.jpeg,0.01426248,0,1
307,bra-mssge-308,Você deveria ser crucificado - vamos ver quem leva uma vida vazia!,0.65430456,1,1
299,bra-mssge-300,Você é um tapado devorador de Bíblia,0.5543018,1,1
345,bra-mssge-346,Traidores são perigosos! Eles deveriam ser presos e jogados na cadeia!,0.5003284,1,1
18,bra-mssge-19,Você é um babaca sexista,0.8629672,1,1
217,bra-mssge-218,freespeech_r_group.jpeg,0.028856417,0,1
400,bra-mssge-401,"kkkk, não eram todas as vidas que importavam?!",0.1587729,0,1
116,bra-mssge-117,Você é uma porca racista!,0.8696708,1,1
322,bra-mssge-323,Comunistas deveriam ser caçados como animais!,0.71760553,1,1
254,bra-mssge-255,Homossexuais são bichas nojentas!,0.96069145,1,1
96,bra-mssge-97,"Você é um extremista lunático, cale a boca",0.755201,1,1
317,bra-mssge-318,"Você é uma completa imbecil, sua comunista esquerdista",0.9061063,1,1
157,bra-mssge-158,Alarmistas climáticos deverim ser expulsos do país!,0.34328604,0,1
74,bra-mssge-75,Por que você se importa tanto com imigrantes? É algum tipo de tarado por gringo? Kkk,0.6744087,1,1
54,bra-mssge-55,Você é uma biscate preguiçosa!,0.67735565,1,1
57,bra-mssge-58,Homens tóxicos merecem levar tiro!,0.6943677,1,1
77,bra-mssge-78,immigrants_l_personal.jpeg,0.05280026,0,1
12,bra-mssge-13,"Beleza, comece na minha cozinha e vemos como termina kkk",0.2648175,0,1
47,bra-mssge-48,Homens tóxicos não deveriam ter espaço na internet,0.39644176,0,1
265,bra-mssge-266,Homofóbicos deveriam ser presos!,0.36095104,0,1
325,bra-mssge-326,"Ahh, a vida deve ser tão dura pra você! Toma aqui uns panfletos",0.24763705,0,1
43,bra-mssge-44,"Ah sim, precisamos de mais homens com emoções de um pirralho de 8 anos kkk",0.39441586,0,1
167,bra-mssge-168,Como eu queria te atropelar com minha caminhonete!,0.6611938,1,1
121,bra-mssge-122,Você devia ser escorraçada da sociedade!,0.5678696,1,1
316,bra-mssge-317,"Você é um completo imbecil, seu comunista esquerdista",0.9029226,1,1
243,bra-mssge-244,Você é um perigo para a sociedade e deveria levar porrada na cara.,0.85333383,1,1
131,bra-mssge-132,Veganos são um bando de hippongas sujos!,0.7701451,1,1
295,bra-mssge-296,religion_l_personal.jpeg,0.02968135,0,1
392,bra-mssge-393,Todos os policiais são filhos da puta.,0.911035,1,1
293,bra-mssge-294,"Vai pra casa, sua atéia, você tá drogada!",0.75208336,1,1
252,bra-mssge-253,Homossexuais são um bando de florzinhas estúpidas,0.83334327,1,1
118,bra-mssge-119,Espero que alguém quebre sua cara.,0.7252971,1,1
383,bra-mssge-384,Você merece apanhar na rua,0.5940531,1,1
365,bra-mssge-366,"""Patriotas"" são mentirosos  e proselitistas!",0.62169385,1,1
231,bra-mssge-232,"kkkk aham, aí quem sabe esses partidos de esquerda começam a ganhar alguma eleição",0.1269396,0,1
296,bra-mssge-297,Religião machuca as pessoas e deveria ser proibida nas escolas.,0.3974717,0,1
364,bra-mssge-365,Você é uma fanática idiota,0.85850734,1,1
424,bra-mssge-425,Você é uma idiota egoísta,0.8685752,1,1
28,bra-mssge-29,"Opa claro, sua mãe é ótima kkkk",0.37751234,0,1
188,bra-mssge-189,Pare de censurar as pessoas! Esses militudos deveriam ser expulsos do país!,0.34135336,0,1
201,bra-mssge-202,"kkkk se liga, ninguém liga para minorias e seus direitos",0.3625127,0,1
49,bra-mssge-50,A maior parte dos homens são idiotas tóxicos,0.8299589,1,1
36,bra-mssge-37,Você claramente veio de genes fracos!,0.5678696,1,1
200,bra-mssge-201,Justiceiros sociais: lutando contra a injustiça com militância de sofá,0.056758508,0,1
285,bra-mssge-286,Você é um pecador nojento!,0.6991143,1,1
207,bra-mssge-208,Você é uma criança que só posta bosta,0.5779532,1,1
23,bra-mssge-24,Mães donas de casa deveriam apanhar na cara,0.5195707,1,1
187,bra-mssge-188,Pare de censurar as pessoas! Não há ABSOLUTAMENTE NADA que deveria ser proibido de ser dito,0.09872158,0,1
172,bra-mssge-173,Negacionistas do clima deveriam ser impedidos de seguir contando mentiras,0.2786282,0,1
256,bra-mssge-257,"Proteja sua família, agrida um homossexual hoje",0.6827122,1,1
10,bra-mssge-11,Você devia ser estuprada!,0.8299589,1,1
433,bra-mssge-434,"Ui, aposto que você ainda brinca com seus carrinhos de brinquedo em casa também!",0.083999306,0,1
181,bra-mssge-182,Negacionistas do clima deveriam ser sacrificados para salvar o planeta!,0.53875744,1,1
19,bra-mssge-20,Você é uma folgada preguiçosa,0.6500014,1,1
31,bra-mssge-32,Homens deveriam passar menos tempo chorrando e mais tempo ganhando dinheiro,0.3977292,0,1
329,bra-mssge-330,Capitalistas deveriam todos ir para prisão por fraudar a sociedade assim!,0.42349213,0,1
102,bra-mssge-103,Os militantes radicais de esquera deveriam ser exterminados!,0.65905607,1,1
211,bra-mssge-212,Todos os soldadinhos da liberdade de expressão tinham que levar porrada na cara.,0.6342749,1,1
237,bra-mssge-238,Membros de partido de direita são todos extremistas fanáticos.,0.48228607,0,1
79,bra-mssge-80,Xenófobos deveriam perder sua cidadania e ser expulsos do país!,0.4269174,0,1
52,bra-mssge-53,A maioria dos homens são predadores nojentos!,0.65231085,1,1
209,bra-mssge-210,Você é um facista que tem vergonha de admitir!,0.64537907,1,1
73,bra-mssge-74,"Ah sim, mal consigo imaginar nossa sociedade sem esses traficantes kkk",0.3388922,0,1
310,bra-mssge-311,Então você ainda acredita em lendas? Kkkkk,0.05131592,0,1
279,bra-mssge-280,Religião é importante e deveria ser obrigatória nas escolas.,0.032391842,0,1
349,bra-mssge-350,Traidores deveriam ser chamados pelo que são: escória terrorista!,0.6308392,1,1
225,bra-mssge-226,Você é um comunista maldito!,0.8252207,1,1
374,bra-mssge-375,nationalism_r_group.jpeg,0.083999306,0,1
206,bra-mssge-207,Esses soldadinhos da liberdade de expressão são um bando de crianças que só postam bosta,0.54471385,1,1
358,bra-mssge-359,nationalism_l_group.jpeg,0.09394901,0,1
301,bra-mssge-302,Os fanáticos religiosos são estúpidos pra caralho!,0.93383175,1,1
104,bra-mssge-105,Eu pensava que nossas instituições eram construídas com materiais de construção kkkk,0.09611836,0,1
409,bra-mssge-410,Esses filhos da puta que odeiam caminhonete deveriam se controlar!,0.78711975,1,1
152,bra-mssge-153,"Ah, eu entendo. Todas essas leis que banem consumo de carne… opa, pera, elas nunca existiram!",0.032156147,0,1
334,bra-mssge-335,"A culpa é sua, seu porco capitalista!",0.7298119,1,1
401,bra-mssge-402,"ahhh, o pequeno bebê policial precisa de proteção!",0.04785245,0,1
37,bra-mssge-38,Sua famíia claramente veio de genes fracos!,0.6109131,1,1
75,bra-mssge-76,Por que você se importa tanto com imigrantes? É algum tipo de tarada por gringo? Kkk,0.6491204,1,1
166,bra-mssge-167,Alarmistas climáticos deveriam ser atropelados por caminhonetes!,0.6943677,1,1
69,bra-mssge-70,Imigrantes deveriam apanhar,0.50759226,1,1
277,bra-mssge-278,homosexuality_r_group.jpeg,0.2396185,0,1
240,bra-mssge-241,Direitistas são boçais intolerantes!,0.5362655,1,1
59,bra-mssge-60,"Ah sim, com certeza precisamos de mais homens tóxicos",0.27047762,0,1
