,id,text,score_max,predicted_label_max,score_hate,scores_harassment,true_label
1939,phleng-mssge-344,This type of police-hating shouldn't be allowed on the internet.,False,1,0.007340608318128048,0.006386373399787991,1
317,gbr-mssge-318,Ungrateful traitors are all idiots.,True,1,0.04486038013091549,0.8414891610780006,1
1265,phl-mssge-69,Isang ka lamang salaulang imigrante!,False,1,0.12322970866627272,0.2533850687997828,1
21,gbr-mssge-22,Male chauvinist pig!,True,1,0.12409607182539668,0.8425944550768305,1
694,indeng-mssge-296,Naxalites should be hunted for entertainment!,True,1,0.10361755234756596,0.25320465957703187,1
868,nig-mssge-71,You should be punched in the face.,True,1,0.007450092978061416,0.19979765427451993,1
77,gbr-mssge-78,Xenophobes shouldn't be tolerated on the internet,False,1,0.00014437558971204927,0.0051410644424300985,1
1203,phl-mssge-7,Puta kang nagmamarapat!,True,1,0.008078553542505414,0.4644377460992992,1
943,nig-mssge-146,vegans_r_group.jpeg,False,1,5.527786369235996e-05,0.0006305508586213986,1
1219,phl-mssge-23,Isa kang linta sa sistema!,False,1,0.007106717024133119,0.04062435246372287,1
2044,usa-mssge-50,Most men are toxic morons.,True,1,0.7215340161079664,0.8042377663633286,1
918,nig-mssge-121,"It should be against the law for vegans to have children, it's child cruelty!",False,1,0.12322006622220846,0.35742949658011264,1
197,gbr-mssge-198,Free speech warriors should be rounded up and gassed!,True,1,0.30909534104083985,0.5684368345035127,1
178,gbr-mssge-179,You're just a pathetic loser who can't take a joke.,True,1,0.007379307374012298,0.8812157845802949,1
545,indeng-mssge-147,vegans_r_personal.jpeg,False,1,7.437028637763686e-05,0.0007200331438843956,1
2132,usa-mssge-138,Meat-eaters are all uncivilized cavemen!,True,1,0.08776574371439222,0.5699403734868076,1
1919,phleng-mssge-324,Traitors should be stamped out like pests!,True,1,0.07943705143209029,0.3993253366740652,1
51,gbr-mssge-52,You're a dumb tradwife.,True,1,0.35456973499043243,0.8859473722668857,1
1180,nig-mssge-383,"haha, I'm sure you don't know how to drive, so why do you care?",False,1,0.0012467511297664202,0.3418544563486576,1
175,gbr-mssge-176,Stop censoring people. There is NOTHING that should not be allowed to be said.,False,1,0.0012867923723946838,0.005814765839751283,1
405,indeng-mssge-7,You entitled bitch!,True,1,0.007113819707517913,0.7922938252487682,1
