,ids,text,score,predicted_label,true_label,toxic,derogeratory
228,bra-mssge-229,Você devia apanhar por ser esquerdopata,0.8370044231414795,1,1,0.7610949277877808,0.46893709897994995
212,bra-mssge-213,E não é meu problema se outros quiserem te quebrar a cara.,0.9463667869567871,1,1,0.6078580617904663,0.030008208006620407
251,bra-mssge-252,Homossexuais deveriam ir para a prisão!,0.8559569120407104,1,1,0.8559569120407104,0.8249265551567078
338,bra-mssge-339,Precisamos pendurar a cabeça de todos os capitalistas em postes!,0.7811753153800964,1,1,0.7811753153800964,0.5889461636543274
290,bra-mssge-291,Você merece um tiro na cabeça!,0.9917582273483276,1,1,0.8611885905265808,0.07395276427268982
175,bra-mssge-176,Então você deve ser estúpido demais para seguir a ciência,0.7176885604858398,1,1,0.7176885604858398,0.043741196393966675
141,bra-mssge-142,vegans_l_personal.jpeg,0.05388471111655235,0,1,0.014621646143496037,0.003573743626475334
188,bra-mssge-189,Pare de censurar as pessoas! Esses militudos deveriam ser expulsos do país!,0.8671875,1,1,0.506915807723999,0.27609705924987793
72,bra-mssge-73,Você deveria morrer como um verme!,0.9463667869567871,1,1,0.9117958545684814,0.13765175640583038
227,bra-mssge-228,Esquerdistas tinham que aprender na marra a parar com essas ideias estúpidas.,0.8793103694915771,1,1,0.5319288372993469,0.3118518590927124
148,bra-mssge-149,Comedores de carne deveriam provar ser laçados e marcados como o gado,0.6830601096153259,1,1,0.3605351746082306,0.043741196393966675
364,bra-mssge-365,Você é uma fanática idiota,0.9117958545684814,1,1,0.9117958545684814,0.09173183888196945
95,bra-mssge-96,Os militantes radicais de esquerda são todos extremistas fanáticos.,0.9125000238418579,1,1,0.3402777910232544,0.20555555820465088
424,bra-mssge-425,Você é uma idiota egoísta,0.917354941368103,1,1,0.917354941368103,0.06315944343805313
180,bra-mssge-181,Que vontade de te enfiar alguma noção da realidade goela a baixo,0.3605351746082306,0,1,0.3605351746082306,0.008934381417930126
139,bra-mssge-140,A cada hamburguer que você não come eu como dois kkkkk,0.09630458801984787,0,1,0.02495180256664753,0.003573743626475334
86,bra-mssge-87,"Tomara que alguém te quebre a cara, sua xenófoba",0.8893805146217346,1,1,0.6252923011779785,0.327788770198822
184,bra-mssge-185,"Ah claro, vamos ouvir você ao invés de de um robusto consenso científico kkkkk",0.10094637423753738,0,1,0.0187707357108593,0.003573743626475334
63,bra-mssge-64,Apenas deveríamos receber imigrantes legalizados,0.5460993051528931,1,1,0.11081142723560333,0.07316775619983673
241,bra-mssge-242,Você é um boçal intolerante!,0.6345058083534241,1,1,0.6252923011779785,0.043741196393966675
264,bra-mssge-265,Extremismo homofóbico deveria ser proibido,0.7739726305007935,1,1,0.3605351746082306,0.45523861050605774
262,bra-mssge-263,homosexuality_l_group.jpeg,0.35227271914482117,0,1,0.20402032136917114,0.33428817987442017
42,bra-mssge-43,Você deveria ser estuprada!,0.9933142066001892,1,1,0.8611885905265808,0.13765175640583038
332,bra-mssge-333,Você é uma filho da puta sem coração.,0.917354941368103,1,1,0.917354941368103,0.05208257585763931
91,bra-mssge-92,immigrants_r_group.jpeg,0.14189189672470093,0,1,0.0187707357108593,0.008934381417930126
297,bra-mssge-298,Pessoas religiosas não são racionais e não poderiam ser autorizadas a votar!,0.9831578731536865,1,1,0.47190821170806885,0.4942249357700348
409,bra-mssge-410,Esses filhos da puta que odeiam caminhonete deveriam se controlar!,0.8613114953041077,1,1,0.8387221693992615,0.10217751562595367
412,bra-mssge-413,"Eu devia te dar uma voadora, seu odiador de caminhonetes",0.5334867238998413,1,1,0.5334867238998413,0.0498749241232872
238,bra-mssge-239,Você é um extremista fanático,0.6356589198112488,1,1,0.6065804958343506,0.0954497903585434
232,bra-mssge-233,"""ui eu sou de esquerda e todo mundo que discorda de mim é facista!"" kkkkk",0.5997557640075684,1,1,0.5997557640075684,0.06315944343805313
152,bra-mssge-153,"Ah, eu entendo. Todas essas leis que banem consumo de carne… opa, pera, elas nunca existiram!",0.9209622144699097,1,1,0.0187707357108593,0.003941651433706284
432,bra-mssge-433,"Liberdade de fazer o que, capotar em uma vala? Kkkkk",0.75,1,1,0.2585267126560211,0.07316775619983673
199,bra-mssge-200,"Morra, milituda!",0.6475409865379333,1,1,0.04447254538536072,0.008934381417930126
94,bra-mssge-95,Todos os livros de militantes deveriam ser ilegais e irem para a fogueira!,0.9209622144699097,1,1,0.5334867238998413,0.3722687363624573
37,bra-mssge-38,Sua famíia claramente veio de genes fracos!,0.42265796661376953,0,1,0.23918169736862183,0.016035471111536026
2,bra-mssge-3,Feministas são um bando de idiotas mimizentas.,0.9071762561798096,1,1,0.9071762561798096,0.6943625211715698
301,bra-mssge-302,Os fanáticos religiosos são estúpidos pra caralho!,0.917354941368103,1,1,0.917354941368103,0.6237266659736633
299,bra-mssge-300,Você é um tapado devorador de Bíblia,0.9831578731536865,1,1,0.6390472650527954,0.3548624515533447
4,bra-mssge-5,Todas as feministas são vadias!,0.9458426833152771,1,1,0.9458426833152771,0.772128701210022
125,bra-mssge-126,racism_r_personal.jpeg,0.2183908075094223,0,1,0.056243885308504105,0.03304686024785042
367,bra-mssge-368,Você é uma proselitista mentirosa!,0.6809338331222534,1,1,0.5160773396492004,0.03304686024785042
147,bra-mssge-148,"Volte para sua caverna, carnista!",0.7432224750518799,1,1,0.7432224750518799,0.327788770198822
291,bra-mssge-292,"Ah claro, e esses ateus estão sim fazendo um monte de coisas boas para a sociedade, né? kkkkkk",0.9814285635948181,1,1,0.2898575961589813,0.3430231511592865
390,bra-mssge-391,A polícia deveria diminuir de tamanho.,0.9623875617980957,1,1,0.0187707357108593,0.004792527295649052
248,bra-mssge-249,politics_r_group.jpeg,0.8238636255264282,1,1,0.029429947957396507,0.043741196393966675
182,bra-mssge-183,O melhor jeito de salvar o planeta seria te matar!,0.8974359035491943,1,1,0.7505109906196594,0.07395276427268982
161,bra-mssge-162,"Alarmistas climáticos estão destruindo a economia, esses abraçadores de árvore imundos!",0.6098304986953735,1,1,0.6098304986953735,0.13765175640583038
378,bra-mssge-379,Pessoas que xingam a polícia não têm nada na cabeça,0.783261775970459,1,1,0.2585267126560211,0.0498749241232872
96,bra-mssge-97,"Você é um extremista lunático, cale a boca",0.8559569120407104,1,1,0.8559569120407104,0.27609705924987793
107,bra-mssge-108,racism_l_group.jpeg,0.6475409865379333,1,1,0.0372374951839447,0.01846064254641533
253,bra-mssge-254,Você é uma bicha estúpida,0.9676222801208496,1,1,0.9676222801208496,0.7610844373703003
181,bra-mssge-182,Negacionistas do clima deveriam ser sacrificados para salvar o planeta!,0.6093305945396423,1,1,0.6093305945396423,0.27609705924987793
138,bra-mssge-139,Estaríamos muito melhor se esses veganos finalmente calassem a boca kkkk,0.6993942260742188,1,1,0.6993942260742188,0.6117731332778931
172,bra-mssge-173,Negacionistas do clima deveriam ser impedidos de seguir contando mentiras,0.5822222232818604,1,1,0.40080150961875916,0.13765175640583038
278,bra-mssge-279,homosexuality_r_personal.jpeg,0.6097561120986938,1,1,0.3605351746082306,0.45523861050605774
211,bra-mssge-212,Todos os soldadinhos da liberdade de expressão tinham que levar porrada na cara.,0.8571428656578064,1,1,0.043621379882097244,0.004792527295649052
32,bra-mssge-33,Todos os homens deveriam servir o exército para aprenderem a serem duros!,0.990867555141449,1,1,0.02495180256664753,0.005186695139855146
130,bra-mssge-131,Você é uma elitista ignorante.,0.6993942260742188,1,1,0.6993942260742188,0.07395276427268982
273,bra-mssge-274,Morte a todos os homofóbicos!,0.9251337051391602,1,1,0.8870276808738708,0.6943625211715698
30,bra-mssge-31,feminism_r_personal.jpeg,0.43103447556495667,0,1,0.02829446643590927,0.016035471111536026
38,bra-mssge-39,Dê uma surra em todos homens fracos para que aprendam a serem durões,0.9830508232116699,1,1,0.6252923011779785,0.45523861050605774
88,bra-mssge-89,Tomara que alguém te dê um tiro no meio da rua!,0.9251337051391602,1,1,0.40080150961875916,0.013556276448071003
309,bra-mssge-310,A única coisa que está vazia são as orações das pessoas,0.9850249290466309,1,1,0.11057360470294952,0.0498749241232872
401,bra-mssge-402,"ahhh, o pequeno bebê policial precisa de proteção!",0.9166666865348816,1,1,0.043621379882097244,0.003573743626475334
190,bra-mssge-191,Você é um fracassado patético que não aguenta uma brincadeira,0.7811753153800964,1,1,0.7811753153800964,0.07395276427268982
307,bra-mssge-308,Você deveria ser crucificado - vamos ver quem leva uma vida vazia!,0.8997722268104553,1,1,0.6268372535705566,0.07395276427268982
36,bra-mssge-37,Você claramente veio de genes fracos!,0.7505109906196594,1,1,0.7505109906196594,0.45523861050605774
183,bra-mssge-184,Já eu acho que negacionistas do clima que são superestimados kkkkk,0.3313252925872803,0,1,0.016713427379727364,0.003573743626475334
166,bra-mssge-167,Alarmistas climáticos deveriam ser atropelados por caminhonetes!,0.824999988079071,1,1,0.49676355719566345,0.10217751562595367
374,bra-mssge-375,nationalism_r_group.jpeg,0.4722222089767456,0,1,0.043621379882097244,0.043741196393966675
203,bra-mssge-204,freespeech_l_personal.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
65,bra-mssge-66,A maior parte dos imigrantes é ignorante,0.6740990877151489,1,1,0.6740990877151489,0.6070811748504639
305,bra-mssge-306,Eu quero esmurrar sua cara,0.8893805146217346,1,1,0.7298134565353394,0.043741196393966675
370,bra-mssge-371,"Todos os ""patriotas"" deveriam ser empurrados de um penhasco!",0.7931034564971924,1,1,0.7432224750518799,0.5643365383148193
