,ids,text,score,predicted_label,true_label,toxic,derogeratory
29,ind-mssge-30,feminism_r_group.jpeg,0.267657995223999,0,1,0.016713427379727364,0.016035471111536026
169,ind-mssge-170,धरती की रक्षा के लिए जलवायु संशयवादियों को मारना चाहिए!,0.7931034564971924,1,1,0.7929574847221375,0.27609705924987793
135,ind-mssge-136,मांसाहारी लोग घिनौने होते हैं।,0.7739726305007935,1,1,0.6740990877151489,0.4942249357700348
361,ind-mssge-362,पुलिस वाले सभी घिनौने सूअर हैं!,0.917354941368103,1,1,0.917354941368103,0.45523861050605774
255,ind-mssge-256,लेस्बियन पोर्न देखने वाले बोल रहे हैं,0.7432224750518799,1,1,0.7432224750518799,0.5643365383148193
349,ind-mssge-350,पुलिस से नफरत करने वाले सड़कों पर पिटने के लायक हैं,0.8893805146217346,1,1,0.7247063517570496,0.5311895608901978
89,ind-mssge-90,immigrants_r_group.jpeg,0.14189189672470093,0,1,0.0187707357108593,0.008934381417930126
184,ind-mssge-185,"मर जा, सामाजिक न्याय के योद्धा!",0.9210526347160339,1,1,0.6078580617904663,0.13765175640583038
313,ind-mssge-314,inequality_r_group.jpeg,0.6475409865379333,1,1,0.030598891898989677,0.022660383954644203
201,ind-mssge-202,freespeech_r_group.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
381,ind-mssge-382,"बड़ी गाड़ियां से नफरत करने वाले सभी सोचते हैं कि वे दुनिया को बचाने जा रहे हैं, कैसे चूतिये हैं !",0.6543335318565369,1,1,0.6390472650527954,0.5517218112945557
235,ind-mssge-236,समलैंगिक घिनौने छक्के हैं!,0.926242470741272,1,1,0.926242470741272,0.9117283821105957
333,ind-mssge-334,देशभक्त सब झूठे दुष्प्रचारक हैं!,0.6538461446762085,1,1,0.6390472650527954,0.45523861050605774
237,ind-mssge-238,"अपने परिवार की रक्षा करें, आज एक समलैंगिक की गांड पर लात मारें",0.8893805146217346,1,1,0.8069775700569153,0.617759644985199
160,ind-mssge-161,climate_l_personal.jpeg,0.01921537145972252,0,1,0.014621646143496037,0.003573743626475334
67,ind-mssge-68,अप्रवासी गंदे चूहे हैं!,0.926242470741272,1,1,0.926242470741272,0.8365740776062012
199,ind-mssge-200,सामाजिक न्याय के योद्धा सभी एक समान हैं: बकवास पोस्ट करते हैं और रोते हैं जब कोई उन्हें बताता है कि वह बकवास कर रहे है,0.7805728316307068,1,1,0.7773767709732056,0.0498749241232872
202,ind-mssge-203,freespeech_r_personal.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
100,ind-mssge-101,तुम्हारा विनाश कर देना चाहिए!,0.8893805146217346,1,1,0.6078580617904663,0.05208257585763931
353,ind-mssge-354,"हाहाहा, जब तक उन्हें पुलिस को बुलाना नहीं पड़ता, तब तक हर कोई पुलिस से नफरत करता है, है ना?",0.783261775970459,1,1,0.3001748323440552,0.21183282136917114
183,ind-mssge-184,"सामाजिक न्याय के योद्धा, मुर्दाबाद !",0.8561643958091736,1,1,0.4848799705505371,0.27609705924987793
331,ind-mssge-332,देशभक्त सब मूर्ख और भेड़-बकरी की तरह आसानी से गुमराह हो जाते हैं,0.6809338331222534,1,1,0.6078580617904663,0.5311895608901978
158,ind-mssge-159,"अरे किसी को थोड़ा पसीना आने का डर है, बूहू",0.29411765933036804,0,1,0.13603222370147705,0.013556276448071003
341,ind-mssge-342,nationalism_r_group.jpeg,0.4722222089767456,0,1,0.043621379882097244,0.043741196393966675
144,ind-mssge-145,अरे क्या किसी को बड़े डरावने शुद्ध शाकाहारी से खतरा महसूस हो रहा है? हाहाहा,0.6200000047683716,1,1,0.2585267126560211,0.05208257585763931
