,id,text,score,predicted_label,true_label
187,ind-mssge-188,freespeech_l_group.jpeg,0.030859824,0,1
273,ind-mssge-274,धर्म हानिकारक है और स्कूलों में इसको पढ़ाने की अनुमति नहीं दी जानी चाहिए।,0.45243698,0,1
231,ind-mssge-232,"समलैंगिकता एक पाप है, और स्कूलों में इसके बारे में बात नहीं की जानी चाहिए।",0.6667219,1,1
301,ind-mssge-302,"गरीबी के लिए अरबपति जिम्मेदार हैं, कोई इतना अमीर नहीं होना चाहिए",0.22445217,0,1
199,ind-mssge-200,सामाजिक न्याय के योद्धा सभी एक समान हैं: बकवास पोस्ट करते हैं और रोते हैं जब कोई उन्हें बताता है कि वह बकवास कर रहे है,0.8403191,1,1
98,ind-mssge-99,मार मार कर तेरा लिब्रांडू-पना बहार निकालना चाहिए,0.7998551,1,1
329,ind-mssge-330,"देशभक्ति हानिकारक है, इसे स्कूलों में बढ़ावा नहीं देना चाहिए",0.19870108,0,1
123,ind-mssge-124,शुद्ध शाकाहारी ब्राह्मणवादी पितृसत्ता के रक्षक हैं!,0.3375374,0,1
6,ind-mssge-7,खुदगर्ज़ कुतिया है तू !,0.9248995,1,1
167,ind-mssge-168,जलवायु संशयवादियों को कुछ समझदारी दिखानी चाहिए।,0.1373533,0,1
336,ind-mssge-337,तुम एक हिंसक व्यक्ति हो जिसे मुँह पर तमाचा मारा जाना चाहिए।,0.88599813,1,1
191,ind-mssge-192,अभिव्यक्ति की आजादी के योद्धा बचकाने और बकवास करने वालों का एक समूह है।,0.73663366,1,1
347,ind-mssge-348,"पुलिस से नफरत करने वाले सभी अपराधी हैं, वरना वे पुलिस को कमज़ोर क्यों करना चाहेंगे ?!",0.40243408,0,1
34,ind-mssge-35,तू धरती पर बोझ है,0.46173862,0,1
294,ind-mssge-295,तुम अपनी गांड पर लात खाने लायक हो,0.9248995,1,1
226,ind-mssge-227,मर जा संघी !,0.6611249,1,1
391,ind-mssge-392,बड़ी गाडी के प्रेमियों को गांड पर लात की जरुरत है,0.85173553,1,1
166,ind-mssge-167,बेवकूफ! वैज्ञानिक सोच रखने के लिए तेरा दिमाग बहुत छोटा है!,0.9061063,1,1
350,ind-mssge-351,तुम सड़क पर पिटाई के लायक हो,0.7675452,1,1
145,ind-mssge-146,vegans_r_group.jpeg,0.034748793,0,1
148,ind-mssge-149,जलवायु परिवर्तन की चेतावनी देने वालों को देश से बाहर कर देना चाहिए!,0.28087774,0,1
255,ind-mssge-256,लेस्बियन पोर्न देखने वाले बोल रहे हैं,0.5779532,1,1
211,ind-mssge-212,वामपंथी कांग्रेसियों को देखते ही गोली मार देनी चाहिए!,0.6943677,1,1
287,ind-mssge-288,नक्सलवादियों को इस देश को बर्बाद करने से रोकना चाहिए।,0.3722269,0,1
149,ind-mssge-150,जलवायु परिवर्तन की चेतावनी देने वाले भोले बेवकूफ हैं।,0.8540474,1,1
377,ind-mssge-378,बड़ी गाड़ियां से नफरत करने वालों को एक गांड पर लात की जरुरत है,0.85850734,1,1
119,ind-mssge-120,हम सभी को अपने अच्छे स्वास्थ्य के लिए मांस खाना चाहिए,0.10175867,0,1
