country,message_id,message_combination,target_topic,target_position,target_group,target_message,target_constraint_gender,sender_scope,sender_message,sender_category,sender_hatescore
bra,bra-mssge-1,feminism-left-opinion-group-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Mulheres devem ser mães dedicadas ao invés de focarem tanto em suas próprias carreiras,opinion,1
bra,bra-mssge-2,feminism-left-opinion-group-2,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Mulheres não deveriam poder trabalhar!,opinion,2
bra,bra-mssge-3,feminism-left-insult-group-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Feministas são um bando de idiotas mimizentas.,insult,1
bra,bra-mssge-4,feminism-left-insult-personal-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,personal,Sua mimizenta idiota,insult,1
bra,bra-mssge-5,feminism-left-insult-group-2,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Todas as feministas são vadias!,insult,2
bra,bra-mssge-6,feminism-left-insult-personal-2,feminism,left,Women,Mulheres devem dominar o mundo!,male,personal,Você é um frouxo!,insult,2
bra,bra-mssge-7,feminism-left-insult-personal-2,feminism,left,Women,Mulheres devem dominar o mundo!,female,personal,Sua vadia!,insult,2
bra,bra-mssge-8,feminism-left-threat-group-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Todas as feministas deveriam apanhar na cara,threat,1
bra,bra-mssge-9,feminism-left-threat-personal-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,personal,Tomara que alguém te quebre a cara,threat,1
bra,bra-mssge-10,feminism-left-threat-group-2,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Feministas merecem ser estupradas!,threat,2
bra,bra-mssge-11,feminism-left-threat-personal-2,feminism,left,Women,Mulheres devem dominar o mundo!,NA,personal,Você devia ser estuprada!,threat,2
bra,bra-mssge-12,feminism-left-mocking-group-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,Adoro feministas; acho que elas são tãão inteligentes,mocking,1
bra,bra-mssge-13,feminism-left-mocking-personal-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,personal,"Beleza, comece na minha cozinha e vemos como termina kkk",mocking,1
bra,bra-mssge-14,feminism-left-meme-group-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,group,feminism_l_group.jpeg,meme,1
bra,bra-mssge-15,feminism-left-meme-personal-1,feminism,left,Women,Mulheres devem dominar o mundo!,NA,personal,feminism_l_personal.jpeg,meme,1
bra,bra-mssge-16,feminism-right-opinion-group-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães donas de casa deveriam procurar empregos de verdade,opinion,1
bra,bra-mssge-17,feminism-right-opinion-group-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães donas de casa que não pagam impostos não deveriam poder votar!,opinion,2
bra,bra-mssge-18,feminism-right-insult-group-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães donas de casa são folgadas preguiçosas,insult,1
bra,bra-mssge-19,feminism-right-insult-personal-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,male,personal,Você é um babaca sexista,insult,1
bra,bra-mssge-20,feminism-right-insult-personal-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,female,personal,Você é uma folgada preguiçosa,insult,1
bra,bra-mssge-21,feminism-right-insult-group-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães donas de casa são sanguessugas do sistema!,insult,2
bra,bra-mssge-22,feminism-right-insult-personal-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,male,personal,Porco machista!,insult,2
bra,bra-mssge-23,feminism-right-insult-personal-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,female,personal,Você é uma sanguessuga!,insult,2
bra,bra-mssge-24,feminism-right-threat-group-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães donas de casa deveriam apanhar na cara,threat,1
bra,bra-mssge-25,feminism-right-threat-personal-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,personal,Tomara que alguém te quebre a cara,threat,1
bra,bra-mssge-26,feminism-right-threat-group-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Mães que ficam em casa deveriam ter seus lares incendiados e morrerem!,threat,2
bra,bra-mssge-27,feminism-right-threat-personal-2,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,personal,Tomara que alguém queime sua casa e te mate!,threat,2
bra,bra-mssge-28,feminism-right-mocking-group-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,Ah claro! As mães que ficam em casa são ótimas. É por isso que a sociedade nem paga elas,mocking,1
bra,bra-mssge-29,feminism-right-mocking-personal-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,personal,"Opa claro, sua mãe é ótima kkkk",mocking,1
bra,bra-mssge-30,feminism-right-meme-group-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,group,feminism_r_group.jpeg,meme,1
bra,bra-mssge-31,feminism-right-meme-personal-1,feminism,right,Stay-at-home moms,Mães donas de casa são as melhores!,NA,personal,feminism_r_personal.jpeg,meme,1
bra,bra-mssge-32,mensrights-left-opinion-group-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Homens deveriam passar menos tempo chorrando e mais tempo ganhando dinheiro,opinion,1
bra,bra-mssge-33,mensrights-left-opinion-group-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Todos os homens deveriam servir o exército para aprenderem a serem duros!,opinion,2
bra,bra-mssge-34,mensrights-left-insult-group-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Homene bebês chorões são um total desperdício de tempo,insult,1
bra,bra-mssge-35,mensrights-left-insult-personal-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,personal,Você é um desperdício de tempo,insult,1
bra,bra-mssge-36,mensrights-left-insult-group-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Homens chorões nascem por causa de genes fracos!,insult,2
bra,bra-mssge-37,mensrights-left-insult-personal-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,male,personal,Você claramente veio de genes fracos!,insult,2
bra,bra-mssge-38,mensrights-left-insult-personal-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,female,personal,Sua famíia claramente veio de genes fracos!,insult,2
bra,bra-mssge-39,mensrights-left-threat-group-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Dê uma surra em todos homens fracos para que aprendam a serem durões,threat,1
bra,bra-mssge-40,mensrights-left-threat-personal-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,personal,Você merece um soco na cara.,threat,1
bra,bra-mssge-41,mensrights-left-threat-group-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,Homens chorões deviam ser castrados!,threat,2
bra,bra-mssge-42,mensrights-left-threat-personal-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,male,personal,Você devia ser castrado!,threat,2
bra,bra-mssge-43,mensrights-left-threat-personal-2,mensrights,left,Weak men,Deveria ser normal que homens chorem.,female,personal,Você deveria ser estuprada!,threat,2
bra,bra-mssge-44,mensrights-left-mocking-group-1,mensrights,left,Weak men,Deveria ser normal que homens chorem.,NA,group,"Ah sim, precisamos de mais homens com emoções de um pirralho de 8 anos kkk",mocking,1
