,id,text,score_max,predicted_label_max,score_hate,scores_harassment,true_label
91,ger-mssge-92,immigrants_r_group.jpeg,False,1,0.007863331584543847,0.0088528892843556,1
390,ger-mssge-391,Ich würde dich gerne mit meinem SUV überfahren!,True,1,0.007517045926841715,0.2528511534694475,1
336,ger-mssge-337,nationalism_l_group.jpeg,False,1,0.007102072999338006,0.0007314205575305067,1
397,ger-mssge-398,SUV-Fahrer sind allesamt egoistische Idioten.,True,1,0.18217645584493858,0.8419080237070727,1
354,ger-mssge-355,Polizistenhasser sind alle weich in der Birne.,True,1,0.3271856085497743,0.6450761932363457,1
276,ger-mssge-277,Du verdienst einen Kopfschuss!,True,1,0.0071828241009804766,0.2525099621795108,1
78,ger-mssge-79,Fremdenfeindlichkeit hat keinen Platz im Internet.,False,1,0.01338631091204352,0.019544292951297677,1
0,ger-mssge-1,"Es ist wichtiger für Frauen, gute Mütter zu sein, als Karriere zu machen.",False,1,0.020234419603131052,0.028220118873877972,1
67,ger-mssge-68,Du brauchst eindeutig mehr Bildung.,False,1,0.00010817152527255935,0.008930961924043407,1
6,ger-mssge-7,Dummer Schlappschwanz!,True,1,0.020795752077500097,0.8027546420048355,1
75,ger-mssge-76,Hast du Angst deinen liebgewordenen Drogendealer zu verlieren? :D,False,1,8.426423087564058e-05,0.019816292571231152,1
97,ger-mssge-98,Diese linken Arschlöcher wollen uns doch nur das Wort verbieten!,True,1,0.5694626564565247,0.8038049064718599,1
53,ger-mssge-54,Die meisten Männer sind wiederliche Höhlenmenschen!,True,1,0.7338623471329813,0.8052647999265694,1
407,ger-mssge-408,"Ohh, ich wette, du spielst auch zu Hause noch mit deinen kleinen Spielzeugautos!",False,1,9.773503931428147e-05,0.006021702460455839,1
266,ger-mssge-267,Religion sollte ein Pflichtfach an Schulen sein.,False,1,0.007733084060604523,0.008718966198915106,1
328,ger-mssge-329,"Die Verräter sollten als das erkannt werden, was sie sind: terroristischer Abschaum!",True,1,0.3048595633719432,0.7384805061442908,1
51,ger-mssge-52,Du bist so ein toxischer Idiot.,True,1,0.007138726411678653,0.8886530206699883,1
243,ger-mssge-244,"Schütze deine Familie, gib den Homos in die Fresse",True,1,0.8220615744551778,0.8873731112078331,1
213,ger-mssge-214,Den Grünen sollte man ihre Dummheit heraus prügeln.,True,1,0.18229053297166783,0.7491459685123266,1
167,ger-mssge-168,Klimaskeptiker kommen einfach nicht klar mit Fakten.,False,1,0.013392843413655273,0.1404856554841478,1
375,ger-mssge-376,"Stirb, du Bullenfreund!",True,1,0.00797500852208253,0.56935749188472,1
44,ger-mssge-45,"Ja, wir brauchen mehr Männer mit dem Auftreten verwöhnter 8-jähriger",False,1,0.01992819431327882,0.10816186896774867,1
