,ids,text,score,predicted_label,true_label,toxic,derogeratory
1031,nig-mssge-234,Homosexuals are a bunch of stupid poofs.,0.8387221693992615,1,1,0.8387221693992615,0.8104019165039062
1559,phl-mssge-363,Isa kang nakasusuklam na hayop!,0.893203854560852,1,1,0.06361287087202072,0.01846064254641533
1389,phl-mssge-193,Isa ka lamang shitposter na isip-bata.,0.8267716765403748,1,1,0.2585267126560211,0.03304686024785042
1351,phl-mssge-155,Dapat kang suntukin sa mukha.,0.267657995223999,0,1,0.014621646143496037,0.003573743626475334
1853,phleng-mssge-258,homosexuality_r_group.jpeg,0.327788770198822,0,1,0.16068580746650696,0.327788770198822
1657,phleng-mssge-62,men_r_group.jpeg,0.12195122241973877,0,1,0.016713427379727364,0.008934381417930126
2241,usa-mssge-247,Homophobes should be thrown in jail!,0.7432224750518799,1,1,0.7432224750518799,0.6959230899810791
759,indeng-mssge-361,You're a police-loving bastard.,0.917354941368103,1,1,0.917354941368103,0.13765175640583038
343,gbr-mssge-344,This type of police-hating shouldn't be allowed on the internet.,0.5263158082962036,1,1,0.20981356501579285,0.07395276427268982
2027,usa-mssge-33,All men should be required to serve in the army to toughen them up!,0.9375,1,1,0.5160773396492004,0.4942249357700348
128,gbr-mssge-129,I hope someone slaughters you like cattle!,0.9251337051391602,1,1,0.8387221693992615,0.0498749241232872
2001,usa-mssge-7,You entitled bitch!,0.9336365461349487,1,1,0.9336365461349487,0.327788770198822
1592,phl-mssge-396,"Kalayaang gawin ang ano, gumulong sa kanal? Lol",0.10556410253047943,0,1,0.10083770751953125,0.011002791114151478
1061,nig-mssge-264,Athiests are dirty unbelievers!,0.8183518648147583,1,1,0.8183518648147583,0.6943625211715698
462,indeng-mssge-64,We should only welcome legal immigrants,0.5460993051528931,1,1,0.15344488620758057,0.13765175640583038
505,indeng-mssge-107,Casteists should be jailed for their behavior!,0.6097561120986938,1,1,0.49676355719566345,0.5311895608901978
