,ids,text,score,predicted_label,true_label,toxic,derogeratory
190,col-mssge-191,¡Dejen de censurar a la gente! Los mamertos deberían ser expulsados de este país.,0.6360946893692017,1,1,0.6065804958343506,0.3118518590927124
413,col-mssge-414,police_r_personal.jpeg,0.10638298094272614,0,1,0.014621646143496037,0.003573743626475334
166,col-mssge-167,Los alarmistas del cambio climático deberían recibir un puñetazo en la cara.,0.8370044231414795,1,1,0.7298134565353394,0.21183282136917114
108,col-mssge-109,¡jaja que excusa tan conveniente para ser un perdedor!,0.347457617521286,0,1,0.20981356501579285,0.004792527295649052
90,col-mssge-91,"De acuerdo, ¡las personas que no sean indigenas nativos no tienen cabida aquí! jaja",0.3722687363624573,0,1,0.3001748323440552,0.3722687363624573
314,col-mssge-315,Lo único que está vacío son las oraciones de la gente.,0.6329221725463867,1,1,0.014621646143496037,0.003573743626475334
68,col-mssge-69,¡Tú eres un sucio inmigrante!,0.8892212510108948,1,1,0.8892212510108948,0.7150517106056213
57,col-mssge-58,¡Deberían pegarle un tiro a los hombres con masculinidad tóxica!,0.9830508232116699,1,1,0.8120017647743225,0.5517218112945557
50,col-mssge-51,Tú eres un imbécil tóxico.,0.917354941368103,1,1,0.917354941368103,0.03304686024785042
302,col-mssge-303,La religión es perjudicial y no debería permitirse en las escuelas.,0.9831578731536865,1,1,0.23918169736862183,0.21183282136917114
430,col-mssge-431,¡Las camionetas deberían estar prohibidas!,0.38793104887008667,0,1,0.016713427379727364,0.003573743626475334
374,col-mssge-375,"Todos los ""patriotas"" son violentos y deberían ser golpeados en la cara",0.9463667869567871,1,1,0.8069775700569153,0.5992919206619263
193,col-mssge-194,Tú sólo eres una patética perdedora que no puede aceptar una broma.,0.7496901750564575,1,1,0.7298134565353394,0.023424765095114708
362,col-mssge-363,Me avergüenzo de todos los estúpidos traidores llorones de mi país,0.7739726305007935,1,1,0.7610949277877808,0.21183282136917114
177,col-mssge-178,Entonces tú debes ser demasiado estúpido para entender la ciencia.,0.8371911644935608,1,1,0.8371911644935608,0.03304686024785042
86,col-mssge-87,Los xenófobos deberían recibir un puñetazo en la cara.,0.9463667869567871,1,1,0.7610949277877808,0.46893709897994995
172,col-mssge-173,climate_l_group.jpeg,0.2183908075094223,0,1,0.02495180256664753,0.005186695139855146
269,col-mssge-270,El extremismo homofóbico debería ser prohibido.,0.9251337051391602,1,1,0.07685458660125732,0.07316775619983673
225,col-mssge-226,Tú debes ser una especie de perdedora inútil.,0.8394585847854614,1,1,0.8387221693992615,0.036435291171073914
306,col-mssge-307,¡Los fanáticos religiosos son más estúpidos que un hijueputa!,0.907411515712738,1,1,0.907411515712738,0.5992919206619263
304,col-mssge-305,Las personas religiosas son un montón de ovejas que obedecen a la Biblia.,0.9958988428115845,1,1,0.2898575961589813,0.22962410748004913
424,col-mssge-425,¡Me gustaría atropellarte con mi camioneta!,0.9090909361839294,1,1,0.8184567093849182,0.043741196393966675
