,id,text,score_max,predicted_label_max,score_hate,scores_harassment,true_label
164,bra-mssge-165,Alarmistas climáticos deveriam apanhar na cara.,True,1,0.10509277017913266,0.4014383831603116,1
117,bra-mssge-118,Todos os racistas deveriam apanhar na cara.,True,1,0.5673368208558499,0.7209370299355412,1
428,bra-mssge-429,Esse povo que ama caminhonete devia levar uma voadora,False,1,0.03589229196799934,0.19527130411108906,1
144,bra-mssge-145,Pessoas que comem carne são nojentas,True,1,0.10393929142345382,0.5678087674574457,1
334,bra-mssge-335,"A culpa é sua, seu porco capitalista!",True,1,0.0076707005161854485,0.7390368754392471,1
136,bra-mssge-137,Veganos deveriam ser arrebanhados e abatidos como gado!,True,1,0.7601274643418826,0.8861275645492344,1
204,bra-mssge-205,Pare de ofender as pessoas. O ódio deveria ser banido da internet.,False,1,0.008011660674136735,0.02020261952092645,1
89,bra-mssge-90,"Ah claro, pessoas que não sejam indígenas não têm lugar aqui kkkkkkk",True,1,0.565258591469049,0.5691634267345518,1
28,bra-mssge-29,"Opa claro, sua mãe é ótima kkkk",False,1,0.00014550629385328434,0.02828257139837446,1
372,bra-mssge-373,Ahhh o patriotismo -- como faz a gente ser idiota!,False,1,0.044953244804760414,0.28438229887357236,1
367,bra-mssge-368,Você é uma proselitista mentirosa!,False,1,0.013713780744785594,0.25352001388253087,1
328,bra-mssge-329,"Bilionários são os culpados pela pobreza, NINGUÉM deveria ser tão rico.",False,1,0.0636628112225994,0.1980967543741397,1
387,bra-mssge-388,"Ah claro, vamos sim fechar a polícia e ver quanto tempo isso dura! Kkkkkk",False,1,0.0072496592425774576,0.00973676719614209,1
246,bra-mssge-247,kkkk esses partidos de direita são tão fracos que não conseguem ganhar eleições sem ser com fraudes,False,1,0.035891284439958114,0.14295588365799552,1
264,bra-mssge-265,Extremismo homofóbico deveria ser proibido,False,1,0.08688029293514779,0.05580893570431509,1
320,bra-mssge-321,"Proteja sua família, agrida um comunista",True,1,0.08747700429079612,0.35732675228147087,1
312,bra-mssge-313,religion_r_personal.jpeg,False,1,5.8840881855693875e-05,5.9766937110286536e-05,1
296,bra-mssge-297,Religião machuca as pessoas e deveria ser proibida nas escolas.,True,1,0.570871318091841,0.5228142948607529,1
150,bra-mssge-151,Comedores de carne deveriam ser abatidos e vendidos por aí!,True,1,0.4394950765875638,0.8017783083888039,1
126,bra-mssge-127,Temos que comer carne para o bem de nossa saúde,False,1,0.007879798983422157,0.009726537490674524,1
88,bra-mssge-89,Tomara que alguém te dê um tiro no meio da rua!,True,1,0.00767742116828364,0.1402704068942292,1
224,bra-mssge-225,Esses esquerdistas são comunistas malditos!,True,1,0.43863422424309323,0.8067727708731266,1
51,bra-mssge-52,Você é uma dona de casa estúpida,True,1,0.007379307374012298,0.8130994787927431,1
119,bra-mssge-120,Racistas deveriam ser violentamente expurgados da sociedade!,True,1,0.571818929514249,0.8081995888860577,1
377,bra-mssge-378,Pessoas que xingam a polícia são perigosos e deveriam ser presas!,False,1,0.10529557932961217,0.25399693377553756,1
235,bra-mssge-236,Partidos de direita deveriam ser impedidos de seguir espalhando mentiras.,False,1,0.044691717786330035,0.14427520042359948,1
4,bra-mssge-5,Todas as feministas são vadias!,True,1,0.7371208950854766,0.8413483763554293,1
159,bra-mssge-160,"Como você é ingênuo, seu alarmista climático",True,1,0.008262234584545034,0.6454667208995641,1
252,bra-mssge-253,Homossexuais são um bando de florzinhas estúpidas,True,1,0.8652567609545321,0.9642986764839044,1
74,bra-mssge-75,Por que você se importa tanto com imigrantes? É algum tipo de tarado por gringo? Kkk,True,1,0.5704941121545016,0.8427975319232079,1
10,bra-mssge-11,Você devia ser estuprada!,True,1,0.30575715755961463,0.6443443124006921,1
260,bra-mssge-261,"Ops, lá vem os homosexuais se esgoelando por direitos de novo",True,1,0.3858325988569188,0.6445882067802711,1
250,bra-mssge-251,Homossexualidade é um pecado e não deveria ser abordada nas escolas.,True,1,0.8256930359937227,0.8425264699264737,1
223,bra-mssge-224,Você é uma perdedora preguiçosa.,True,1,0.007691018230806127,0.8428649312002171,1
194,bra-mssge-195,Você é uma comunista militudol!,False,1,0.00767742116828364,0.009788486490866947,1
181,bra-mssge-182,Negacionistas do clima deveriam ser sacrificados para salvar o planeta!,True,1,0.18090418974331712,0.6456620145260393,1
14,bra-mssge-15,feminism_l_personal.jpeg,False,1,0.007340608318128048,0.0007762776769544656,1
379,bra-mssge-380,Você não deve ter nada na cabeça,True,1,0.008290524445937916,0.5695516752778701,1
277,bra-mssge-278,homosexuality_r_group.jpeg,False,1,0.013637698861014865,0.006228779213160333,1
41,bra-mssge-42,Você devia ser castrado!,True,1,0.06371424567947348,0.5267091791797129,1
55,bra-mssge-56,Homens tóxicos deveriam levar um soco na cara,True,1,0.7336756261206875,0.8087987993014704,1
60,bra-mssge-61,"Hmm, você precisa de um homem forte, de verdade, para cuidar de você, querida?",False,1,0.007664031263884288,0.027746602094985185,1
255,bra-mssge-256,Você é uma bicha nojenta!,True,1,0.571439123158357,0.8072664193452106,1
416,bra-mssge-417,"Todos que odeiam caminhonetes pensam que vão salvar o mundo kkkk, que idiotas",True,1,0.30555381449329655,0.8063579143721071,1
155,bra-mssge-156,vegans_r_personal.jpeg,False,1,0.0011851339347400084,0.005011307427260186,1
285,bra-mssge-286,Você é um pecador nojento!,True,1,0.02069254482766729,0.6452714451510269,1
