,id,text,score,predicted_label,true_label
372,tur-mssge-373,"Spor arabalar güvenlidir, hatta sadece onların trafiğe çıkması gerek!",,,1
177,tur-mssge-178,SJW’ler şaka kaldıramayan hastalıklı zavallılardan ibaret.,,,1
58,tur-mssge-59,Sen kurşuna dizilmelisin!,,,1
236,tur-mssge-237,Sen iğrenç bir ibnesin’,,,1
108,tur-mssge-109,Sen yobaz bir bok parçasısın.,,,1
92,tur-mssge-93,Tüm “woke” kitaplar yasadışı ilan edilip yakılmalı!,,,1
275,tur-mssge-276,Dine inanan insanlar insanların kafasına kutsal kitapla vuran koyunlardır.,,,1
166,tur-mssge-167,"Gerizekalı, beynin bilimi takip etmek için çok küçük!",,,1
100,tur-mssge-101,Senin imha edilmen lazım!,,,1
220,tur-mssge-221,"Sen sağcı, aşırılıkçı bir ideologsun.",,,1
227,tur-mssge-228,"Haha, AKP’liler o kadar zayıf ki hile yapmadan seçim kazanamıyorlar.",,,1
135,tur-mssge-136,Et yiyenler gerçekten iğrenç.,,,1
138,tur-mssge-139,"Mağarana geri dön, et yiyici!",,,1
244,tur-mssge-245,homosexuality_l_personal.jpeg,,,1
385,tur-mssge-386,Spor arabaların şehir içinde park etmesine izin verilmemeli.,,,1
41,tur-mssge-42,Sen hadım edilmelisin!,,,1
153,tur-mssge-154,İklim yaygaracılarını evire çevire dövmek gerek.,,,1
373,tur-mssge-374,Spoar araba düşmanları aptal ağaç kucaklayıcılardan ibaret,,,1
301,tur-mssge-302,"Sefalet içim milyarderleri suçlamak gerek, HİÇ KİMSE o kadar zengin olmamalı",,,1
370,tur-mssge-371,police_r_personal.jpeg,,,1
174,tur-mssge-175,climate_r_personal.jpeg,,,1
248,tur-mssge-249,"Sen homofobik, güvensiz bir zavallısın.",,,1
279,tur-mssge-280,Dinci yobazların hepsini evire çevire dövmek lazım.,,,1
35,tur-mssge-36,Zırlak oğlanlar zayıf genlerin sonucu!,,,1
121,tur-mssge-122,Veganların cahil züppelerden ibaret.,,,1
