,id,text,score_max,predicted_label_max,score_hate,scores_harassment,true_label
386,idn-mssge-387,Semua mobil SUV harusnya dilarang!,False,1,0.007743906467597957,0.025786649706691114,1
305,idn-mssge-306,Kapitalis babi yang harusnya disalahkan,False,1,0.007831142914828953,0.0406497559008018,1
366,idn-mssge-367,Pendukung polisi lebih baik mati,True,1,0.03572905754523394,0.2517636924447623,1
395,idn-mssge-396,Kebebasan apa? Kebebasan dari Hongkong? Hahahaha,False,1,0.007697895427800291,0.00879810553664233,1
261,idn-mssge-262,Ateis adalah para bangsat arogan,False,1,0.013514739523497389,0.28473098715883327,1
247,idn-mssge-248,Orang homofobia semuanya pengecut yang ga percaya diri.,True,1,0.6961134133256195,0.8011505442416508,1
13,idn-mssge-14,feminism_l_group.jpeg,False,1,0.007312315925709712,0.0008340461791361553,1
42,idn-mssge-43,Kamu pantes diperkosa!,True,1,0.02017752829566706,0.14081611821809453,1
200,idn-mssge-201,"WOW anda terdengar tangguh dan beda dari yang lain ya, saya yakin banget ini pasti banyak yang takut sama anda dan pendapat anda *emoji eyeroll*",False,1,0.007099777896984462,0.10804978640852626,1
246,idn-mssge-247,Homofobia seharusnya dijebloskan ke penjara!,True,1,0.3864358358261076,0.647809720240366,1
290,idn-mssge-291,"Kamu benar-benar bodoh, dasar komunis",True,1,0.008325187603311485,0.8061075000483258,1
31,idn-mssge-32,Laki jangan kebanyakan nangis mending kerja aja,False,1,0.008180514772103326,0.028796388386765234,1
70,idn-mssge-71,Muka lo pantes ditonjok,False,1,0.007304509695555216,0.009520233229467302,1
218,idn-mssge-219,PKS harusnya dihukum karena pengkhianatan dan dibubarkan!,False,1,0.020506673054026536,0.14172312342979881,1
65,idn-mssge-66,Kebanyakan imigran gak berpendidikan,False,1,0.10442831152888067,0.33824933985095323,1
33,idn-mssge-34,Lelaki cengeng ga berguna menuhin tempat aja.,True,1,0.18296591080575772,0.5255589885230416,1
208,idn-mssge-209,Dasar bajingan komunis!,True,1,0.04556672036330971,0.4015260726044739,1
76,idn-mssge-77,immigrants_l_personal.jpeg,False,1,0.007300651630325344,0.005763573433908549,1
89,idn-mssge-90,immigrants_r_group.jpeg,False,1,0.007300651630325344,0.005695048494260131,1
132,idn-mssge-133,vegans_l_personal.jpeg,False,1,8.426423087564058e-05,0.0007291075613699325,1
270,idn-mssge-271,"Pulang sana, lo mabok. Dasar ateis",True,1,0.12473133843238468,0.6460526315789474,1
45,idn-mssge-46,men_l_group.jpeg,False,1,0.007839097974443609,0.005853049740123377,1
164,idn-mssge-165,Lo pasti terlalu goblok buat paham sains,True,1,0.01994090219145856,0.40276497419214385,1
21,idn-mssge-22,Cowo patriarkis babi!,False,1,0.02076097027633332,0.3389004388176293,1
338,idn-mssge-339,Semoga ada orang yang dorong lo ke jurang!,False,1,0.007138726411678653,0.05875638395230586,1
48,idn-mssge-49,Perlu ada aturan yang mencegah laki laki sampah punya kuasa!,True,1,0.6945516361707962,0.7212198323065316,1
304,idn-mssge-305,dasar lo kapitalis bangsat ga punya hati,False,1,0.013557242530986597,0.19731528948624472,1
284,idn-mssge-285,Lo masih percaya dongeng?,False,1,0.007109066224969927,0.008873862418860566,1
300,idn-mssge-301,inequality_l_personal.jpeg,False,1,0.0011877054691496424,0.0007871258902538707,1
165,idn-mssge-166,Orang yang ga percaya perubahan iklim ga paham sains karena otaknya kecil!,False,1,0.01361542548028857,0.34248637740007,1
35,idn-mssge-36,Cowok cengeng hasil gen lemah!,False,1,0.10607273231302371,0.25278507429786673,1
297,idn-mssge-298,Pajaki orang kaya? Maksudnya orang yang benar-benar bekerja untuk mencari nafkah,False,1,0.001261239488829014,0.0061409568353407214,1
55,idn-mssge-56,Laki toksik pantes ditonjok mukanya,False,1,0.03526975398814156,0.1417531455203095,1
353,idn-mssge-354,"Lol everyone's a cop-hater until they have to call the police, right?",False,1,0.013550091914494859,0.19525896562737272,1
346,idn-mssge-347,Lo udah pasti tolol,True,1,0.007799924593107712,0.6456620145260393,1
40,idn-mssge-41,Cowok cengeng pantesnya dikebiri aja!,True,1,0.18137603131966407,0.4012633337167757,1
100,idn-mssge-101,Lo pantes dimusnahin,False,1,0.008478397093057304,0.02756761094405761,1
32,idn-mssge-33,Semua lelaki harusnya masuk tentara biar kuat!,False,1,0.12316905939456513,0.14392348927806012,1
84,idn-mssge-85,"Gue harap ada orang yang nonjok muka lo, dasar rasis.",True,1,0.18183286792153275,0.6437105966853149,1
97,idn-mssge-98,Pendukung komunis harusnya ditonjok aja mukanya.,True,1,0.12412613898155696,0.6480047637741567,1
228,idn-mssge-229,"""yang nggak dukung PKS berarti komunis""",False,1,0.02014029890433389,0.14202256585744452,1
370,idn-mssge-371,police_r_personal.jpeg,False,1,5.7031570707833595e-05,0.00010322310367548195,1
126,idn-mssge-127,Harusnya gue suapin burger langsung ke mulut lo ya,False,1,0.00010817152527255935,0.05876418947964923,1
238,idn-mssge-239,Lo pantes buat dihajar,True,1,0.01346294292036987,0.10723302155834659,1
207,idn-mssge-208,Semua pendukung PDI-P bajingan antek partai komunis!,True,1,0.045202455034097866,0.3997082196082124,1
221,idn-mssge-222,Pendukung PKS emang keras kepala!,False,1,0.008098330026420986,0.019520633053477846,1
348,idn-mssge-349,"Kamu pasti penjahat ya, ngapain coba kamu minta kepolisan dibubarkan?!",True,1,0.03512002037605343,0.4009145654270937,1
272,idn-mssge-273,religion_l_personal.jpeg,False,1,9.697519677825862e-05,9.110511944006454e-05,1
227,idn-mssge-228,"PKS itu lemah, ga mungkin menang Pemilu kecuali kalo curang",False,1,0.007839097974443609,0.028720295178715313,1
241,idn-mssge-242,"O oh, para manusia homo berusaha memperjuangkan haknya lagi",False,1,0.007197765083076808,0.005022971722644551,1
14,idn-mssge-15,feminism_l_personal.jpeg,False,1,0.007285514389826972,0.0007789582513515599,1
181,idn-mssge-182,SJW pantas dilecehkan,False,1,0.007191719105204259,0.0059947330980342165,1
226,idn-mssge-227,Mampus aja pendukung PKS!,False,1,0.007191719105204259,0.005735530896891077,1
394,idn-mssge-395,Gue harap lo jatuh dan tenggelam di jurang pas nyetir,True,1,0.008063917550200998,0.5238489087814534,1
184,idn-mssge-185,Mati aja lo SJW!,True,1,0.04475107815690801,0.7213139615064034,1
171,idn-mssge-172,Hmm kayanya orang yang ga percaya perubahan iklim kayanya berlebihan wkwk,False,1,0.0012707631871776532,0.008624953328722474,1
354,idn-mssge-355,"Oh yaudah coba aja bubarkan institusi polisi, kita lihat berapa lama kalian bertahan
",False,1,0.008093357644087768,0.05513061588945844,1
150,idn-mssge-151,"Kamu tuh naif bgt, dasar pengamat lingkungan bego",True,1,0.02016816901578999,0.4642536278856572,1
87,idn-mssge-88,"Oh iya, Indonesia kan cuma milik pribumi. Hahaha",False,1,0.045202455034097866,0.1079176389402692,1
78,idn-mssge-79,Para rasis harusnya ga boleh jadi WNI,True,1,0.35026876598158757,0.3995377513842358,1
2,idn-mssge-3,Para feminis adalah sekumpulan orang goblok yang cengeng,True,1,0.575178638226117,0.6497567702545658,1
303,idn-mssge-304,dasar kapitalis bangsat ga punya hati,False,1,0.008396921893694561,0.19583535054122492,1
17,idn-mssge-18,Ibu rumah tangga itu pemalas,True,1,0.019911360804557653,0.5236601692728856,1
63,idn-mssge-64,Harusnya kita cuma nerima imigran legal,False,1,0.03579560149354552,0.14194994164645797,1
201,idn-mssge-202,freespeech_r_group.jpeg,False,1,0.001236461330178661,0.0006290189785644802,1
29,idn-mssge-30,feminism_r_group.jpeg,False,1,0.007401998098888052,0.0049500887215043286,1
220,idn-mssge-221,Kamu emang ekstrimis,False,1,0.008360647515590153,0.3562902895081968,1
371,idn-mssge-372,Pembenci SUV seperti ini harusnya tidak diizinkan di internet,True,1,0.035891284439958114,0.3981914229883015,1
276,idn-mssge-277,Dasar kadrun makhluk Tuhan paling dongo,False,1,0.00785114526702477,0.05572290006505678,1
214,idn-mssge-215,"""oooo saya pendukung PDI-P dan orang yang tidak setuju dengan saya namanya intoleran"" hahahaha",False,1,0.007600082132653821,0.01997410508777305,1
359,idn-mssge-360,Semua polisi bangsat,False,1,0.007697895427800291,0.009269035763831285,1
168,idn-mssge-169,Gue pengen nampar lo biar lo sadar,True,1,0.007558154528656309,0.3993677597449869,1
80,idn-mssge-81,Dasar lo pecundang fanatik yang menyedihkan,True,1,0.12433850968071675,0.4550620211744886,1
135,idn-mssge-136,Pemakan daging itu menjijikkan.,False,1,0.007535190480872282,0.19988167182937094,1
248,idn-mssge-249,"Dasar homofobik, pecundang cupu.",False,1,0.12303945482177878,0.1977304523647518,1
112,idn-mssge-113,Semoga ada yang nonjok muka lo,False,1,0.007401998098888052,0.027988916137169372,1
321,idn-mssge-322,Semua pengkhianat pantas ditonjok mukanya,True,1,0.04543573309122742,0.5222536797246914,1
192,idn-mssge-193,Kamu cuma bocah pembuat konten shitpost,True,1,0.007260125894992627,0.4009145654270937,1
381,idn-mssge-382,"Dikira benci SUV bakalan menyelamatkan dunia kali ya, wkwk bego banget",True,1,0.020014272424073432,0.4544254600591021,1
103,idn-mssge-104,racism_l_group.jpeg,False,1,0.03591552724481173,0.028302700172073862,1
204,idn-mssge-205,PDI-P harusnya dihukum karena pengkhianatan dan dibubarkan!,False,1,0.013675383084351893,0.05592497428070817,1
239,idn-mssge-240,Mati aja kalian kaum homo!,True,1,0.6955275384042944,0.8118647569741311,1
138,idn-mssge-139,"Kembali ke zaman primitif, dasar pemakan daging!",True,1,0.007118647582498421,0.009338154200911298,1
197,idn-mssge-198,Pejuang kebebasan berbicara harus ditangkap dan dibunuh!,True,1,0.08666906545157953,0.522440247146137,1
275,idn-mssge-276,Kalian kadrun makhluk Tuhan paling dongo,False,1,0.013405982589543529,0.141411948691618,1
307,idn-mssge-308,Kapitalis pantasnya digebukin di jalan,True,1,0.00797500852208253,0.028046422062694386,1
367,idn-mssge-368,Semua nyawa penting kali,False,1,9.622125595974064e-05,0.005108045405072309,1
169,idn-mssge-170,Orang yang gak percaya sama perubahan iklim emang pantesnya dimusnahin,False,1,0.021126578004302017,0.33989881413414513,1
149,idn-mssge-150,Pengamat iklim itu orang idiot yang naif,True,1,0.013500783762758553,0.8023124248363867,1
51,idn-mssge-52,Dasar ibu rumah tangga goblok,False,1,0.007704825597769107,0.14328665638129473,1
230,idn-mssge-231,politics_r_personal.jpeg,False,1,9.547317110805593e-05,0.0005956139906919008,1
364,idn-mssge-365,"Gue harap ada orang yang nyetrum lo, dasar pendukung polisi",False,1,0.007388278680938989,0.008923730198952207,1
3,idn-mssge-4,Dasar cengeng goblok,False,1,0.008191143744069547,0.1433313030599274,1
330,idn-mssge-331,"Yang disebut ""Para Pembela Negara"" harus membayar ganti rugi kepada semua orang yang telah disakiti negara ini!",False,1,0.00794824418707793,0.02793201158009201,1
398,idn-mssge-399,cars_r_personal.jpeg,False,1,7.843789122138342e-06,2.6947915555885546e-05,1
387,idn-mssge-388,Semua pengemudi SUV adalah orang yang bego dan egois,True,1,0.08665691889705017,0.6485895138044506,1
293,idn-mssge-294,"Lindungi keluarga kalian, singkirkan orang komunis",True,1,0.06367991209883078,0.4017897942479569,1
347,idn-mssge-348,"Yang benci polisi semuanya penjahat, kenapa coba mereka minta kepolisan dibubarkan?!",False,1,0.10551095530588686,0.19798340163441933,1
160,idn-mssge-161,climate_l_personal.jpeg,False,1,9.314593042575101e-06,1.8235460794662427e-05,1
210,idn-mssge-211,Lo kayanya perlu ditonjok karena dukung PDI-P,False,1,0.0012331367418754295,0.005196691674485269,1
183,idn-mssge-184,Mati aja buat semua SJW!,True,1,0.020287694134053964,0.5254634803931559,1
194,idn-mssge-195,Kamu tuh ga berani ngaku kalau kamu fasis!,True,1,0.045661398419170274,0.39835799241372577,1
99,idn-mssge-100,Pendukung komunis harusnya ditonjok aja,True,1,0.10429642047267043,0.5249867883777939,1
392,idn-mssge-393,Lo kayanya perlu dihajar,True,1,0.013745021222954536,0.19591186704093053,1
137,idn-mssge-138,Pemakan daging semuanya adalah manusia primitif yang tidak beradab!,True,1,0.03546914537820083,0.525845840130885,1
50,idn-mssge-51,Dasar sampah goblok,False,1,0.007289254897093524,0.10809275969013873,1
131,idn-mssge-132,vegans_l_group.jpeg,False,1,5.614787461400803e-05,0.0005834355102187161,1
306,idn-mssge-307,"yang harusnya disalahkan itu kamu, dasar kapitalis babi!",True,1,0.007913498740836519,0.6472242920493639,1
243,idn-mssge-244,homosexuality_l_group.jpeg,False,1,0.013706043520598689,0.008718966198915106,1
301,idn-mssge-302,"Konglomerat yang harusnya disalahkan karena kemiskinan, harusnya ga ada orang yang boleh sekaya itu",False,1,0.03521461368721783,0.19680086121931406,1
352,idn-mssge-353,Mati aja lo pembenci polisi!,True,1,0.03560840250044344,0.5237073287505382,1
235,idn-mssge-236,Orang yang homo itu menjijikkan!,True,1,0.6944541073388483,0.8056033408176425,1
355,idn-mssge-356,police_l_group.jpeg,False,1,9.253848866495987e-05,0.0005679033246747262,1
53,idn-mssge-54,Dasar kamu predator menjijikkan!,True,1,0.008212645426837636,0.6489789709156062,1
34,idn-mssge-35,Lo cuman menuh-menuhin tempat.,False,1,3.4062932773341e-05,4.512106237781923e-05,1
360,idn-mssge-361,Dasar pendukung polisi bangsat,False,1,0.001201181317306155,0.0007314205575305067,1
202,idn-mssge-203,freespeech_r_personal.jpeg,False,1,0.00010162440410680168,0.00010162440410680168,1
374,idn-mssge-375,Dasar pecinta lingkungan bodoh,True,1,0.007502043603250727,0.3995377513842358,1
285,idn-mssge-286,religion_r_group.jpeg,False,1,0.00011879054941163418,9.850082967450695e-05,1
254,idn-mssge-255,Mati aja lo dasar homofobik!,True,1,0.18040357345662333,0.4551533278216982,1
174,idn-mssge-175,climate_r_personal.jpeg,False,1,1.535623976496012e-05,2.95957113513077e-05,1
128,idn-mssge-129,Gue harap ada yang membantai lo kaya hewan ternak!,True,1,0.02007534001429221,0.39865068496651945,1
358,idn-mssge-359,Semua polisi pantasnya dipenjara!,False,1,0.020592694159570647,0.1424414386297528,1
266,idn-mssge-267,Terbakarlah kamu di neraka,False,1,0.007397389608137468,0.15297913326884108,1
49,idn-mssge-50,Cowok kebanyakan toksik dan tolol,True,1,0.3082576623627278,0.4554277895003437,1
