,id,text,score,predicted_label,true_label
23,idn-mssge-24,Ibu rumah tangga pantes ditonjok mukanya,0.6020386,1,1
111,idn-mssge-112,Orang rasis mukanya pantes ditonjok,0.5332045,1,1
354,idn-mssge-355,"Oh yaudah coba aja bubarkan institusi polisi, kita lihat berapa lama kalian bertahan
",0.27236435,0,1
34,idn-mssge-35,Lo cuman menuh-menuhin tempat.,0.09828771,0,1
69,idn-mssge-70,Imigran pantes ditonjok mukanya,0.6611249,1,1
278,idn-mssge-279,Lo goblok banget sumpah!,0.5130944,1,1
18,idn-mssge-19,Dasar cowo patriarkis,0.48627716,0,1
353,idn-mssge-354,"Lol everyone's a cop-hater until they have to call the police, right?",0.23090743,0,1
71,idn-mssge-72,Imigran perlu dibasmi kayak hama!,0.72028047,1,1
238,idn-mssge-239,Lo pantes buat dihajar,0.60325533,1,1
12,idn-mssge-13,"Ok, coba ke dapur dulu terus abis itu baru ngomong HAHAHAHA",0.37751234,0,1
225,idn-mssge-226,Semoga pendukung PKS pada mampus!,0.039462693,0,1
157,idn-mssge-158,"Wah iya ya, kita semua bakal mati gara-gara cuacanya lebih bagus",0.28890648,0,1
64,idn-mssge-65,Pemerintah harusnya usir para imigran!,0.4398409,0,1
170,idn-mssge-171,Cara terbaik untuk melindungi bumi adalah dengan membunuh lo,0.6615786,1,1
138,idn-mssge-139,"Kembali ke zaman primitif, dasar pemakan daging!",0.5739874,1,1
261,idn-mssge-262,Ateis adalah para bangsat arogan,0.89241093,1,1
283,idn-mssge-284,Satu hal yang pasti kosong adalah doa orang-orang,0.05725329,0,1
82,idn-mssge-83,"Dasar rasis lo, makan tuh bendera!",0.6306599,1,1
360,idn-mssge-361,Dasar pendukung polisi bangsat,0.7675452,1,1
243,idn-mssge-244,homosexuality_l_group.jpeg,0.23162876,0,1
26,idn-mssge-27,Gue harap ada orang bakar rumah lo trus lo mati aja!,0.7570315,1,1
282,idn-mssge-283,Lo harusnya dirajam sampai mati - kita lihat siapa yang hidupnya ga berguna!,0.718943,1,1
286,idn-mssge-287,religion_r_personal.jpeg,0.028620722,0,1
196,idn-mssge-197,Bukan urusan gue kalo orang lain pengen tonjok muka lo,0.3308965,0,1
262,idn-mssge-263,Lo bangsat keras kepala,0.7701451,1,1
156,idn-mssge-157,Gue pengen tabrak lo pake SUV gue!,0.44942492,0,1
62,idn-mssge-63,men_r_personal.jpeg,0.025320992,0,1
63,idn-mssge-64,Harusnya kita cuma nerima imigran legal,0.25462922,0,1
151,idn-mssge-152,"Pengamat iklim adalah perusak ekonomi, dasar pecinta lingkungan menjijikkan!",0.6798578,1,1
316,idn-mssge-317,Pengkhianat itu berbahaya! Mereka perlu ditangkap dan dijebloskan ke penjara!,0.43158367,0,1
398,idn-mssge-399,cars_r_personal.jpeg,0.01426248,0,1
357,idn-mssge-358,Polisi udah seharusnya dikerdilkan,0.11202335,0,1
252,idn-mssge-253,Gue pengen tonjok muka lo,0.4269174,0,1
342,idn-mssge-343,nationalism_r_personal.jpeg,0.06500591,0,1
29,idn-mssge-30,feminism_r_group.jpeg,0.08241652,0,1
340,idn-mssge-341,Gue yakin negara bangga banget sama lo wkwk,0.025085296,0,1
41,idn-mssge-42,Mending lo dikebiri aja!,0.61223894,1,1
230,idn-mssge-231,politics_r_personal.jpeg,0.019728716,0,1
5,idn-mssge-6,Dasar cowok lemah!,0.6308392,1,1
344,idn-mssge-345,"Bahaya nih para pembenci polisi, mereka harusnya dipenjara!",0.30993456,0,1
70,idn-mssge-71,Muka lo pantes ditonjok,0.049336795,0,1
245,idn-mssge-246,Orang yang anti homo secara ekstrem harusnya dilarang,0.51980776,1,1
372,idn-mssge-373,SUV itu lebih aman dan harusnya jadi satu-satunya jenis mobil yang dijual!,0.008796243,0,1
294,idn-mssge-295,Kamu pantas disingkirkan,0.5195707,1,1
248,idn-mssge-249,"Dasar homofobik, pecundang cupu.",0.7804726,1,1
327,idn-mssge-328,nationalism_l_group.jpeg,0.09394901,0,1
351,idn-mssge-352,Mati aja buat semua pembenci polisi!,0.6989911,1,1
15,idn-mssge-16,Ibu rumah tangga tuh harusnya nyari kerjaan yang bener.,0.075294,0,1
