,ids,text,score,predicted_label,true_label,toxic,derogeratory
202,pol-mssge-203,freespeech_r_personal.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
284,pol-mssge-285,"Nadal wierzysz w bajki, prawda? Lol",0.10110294073820114,0,1,0.05228136479854584,0.004792527295649052
398,pol-mssge-399,cars_r_personal.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
71,pol-mssge-72,Imigranci powinni być wszyscy wytępieni jak robactwo!,0.8882540464401245,1,1,0.8882540464401245,0.8249265551567078
6,pol-mssge-7,Ty zarozumiała suko!,0.9360586404800415,1,1,0.9360586404800415,0.21183282136917114
162,pol-mssge-163,Sceptycy klimatyczni powinni zostać wyrzuceni z kraju!,0.8238636255264282,1,1,0.5334867238998413,0.3430231511592865
86,pol-mssge-87,"Mam nadzieję, że ktoś zastrzeli cię na ulicy!",0.9917582273483276,1,1,0.7929574847221375,0.0498749241232872
91,pol-mssge-92,"Cały ten ""wokeness"" nie powinien być nauczany w szkołach.",0.5460993051528931,1,1,0.030598891898989677,0.007179487496614456
280,pol-mssge-281,Chcę ci walnąć w twarz.,0.9830508232116699,1,1,0.8387221693992615,0.07395276427268982
21,pol-mssge-22,Męska szowinistyczna świnia!,0.6121233105659485,1,1,0.6121233105659485,0.13765175640583038
288,pol-mssge-289,Komuniści powinni być wszyscy wrzuceni do więzienia za zagrażanie demokracji!,0.7927461266517639,1,1,0.5703998804092407,0.4942249357700348
294,pol-mssge-295,"Zasługujesz na to, by skopać ci dupę.",0.9463667869567871,1,1,0.8413805961608887,0.10217751562595367
83,pol-mssge-84,Ksenofobów należy walnąć w twarz.,0.9463667869567871,1,1,0.7176885604858398,0.46893709897994995
298,pol-mssge-299,"Życie musi być dla ciebie takie ciężkie! Masz, weź trochę zasiłków.",0.6261682510375977,1,1,0.15344488620758057,0.004792527295649052
25,pol-mssge-26,"Matkom, które zamiast pracować siedzą w domu, powinno się te chaty spalić z nimi w środku!",0.9814285635948181,1,1,0.6098304986953735,0.5583442449569702
250,pol-mssge-251,Jesteś idiotą!,0.8120017647743225,1,1,0.8120017647743225,0.0498749241232872
253,pol-mssge-254,Śmierć wszystkim homofobom!,0.9463667869567871,1,1,0.9360586404800415,0.772128701210022
355,pol-mssge-356,police_l_group.jpeg,0.20895522832870483,0,1,0.014621646143496037,0.003573743626475334
278,pol-mssge-279,Jesteście głupi jak cholera!,0.907411515712738,1,1,0.907411515712738,0.07395276427268982
157,pol-mssge-158,"Tak, wszyscy umrzemy z powodu ładniejszej pogody...",0.8913043737411499,1,1,0.056243885308504105,0.003573743626475334
136,pol-mssge-137,Jesteś obrzydliwym mięsożercą.,0.42265796661376953,0,1,0.2585267126560211,0.011002791114151478
160,pol-mssge-161,climate_l_personal.jpeg,0.01921537145972252,0,1,0.014621646143496037,0.003573743626475334
193,pol-mssge-194,Absolutyści wolności słowa to tylko gówniani faszyści!,0.7298134565353394,1,1,0.7298134565353394,0.4942249357700348
57,pol-mssge-58,Toksyczni mężczyźni powinni zostać zastrzeleni!,0.9463667869567871,1,1,0.7289537787437439,0.5643365383148193
175,pol-mssge-176,"Przestańcie cenzurować ludzi. Nie ma NIC, co nie powinno być dozwolone do powiedzenia.",0.3333333432674408,0,1,0.05228136479854584,0.005186695139855146
48,pol-mssge-49,Powinno istnieć prawo uniemożliwiające toksycznym mężczyznom bycie u władzy!,0.9298245906829834,1,1,0.011965812183916569,0.003573743626475334
149,pol-mssge-150,Alarmiści klimatyczni to naiwni idioci.,0.7505109906196594,1,1,0.7505109906196594,0.21183282136917114
130,pol-mssge-131,"Za każdego burgera, którego nie zjesz, ja zjem dwa! lol",0.5177304744720459,1,1,0.014621646143496037,0.003573743626475334
198,pol-mssge-199,Powinniście być zagazowani!,0.6740990877151489,1,1,0.6740990877151489,0.3722687363624573
31,pol-mssge-32,"Mężczyźni powinni spędzać mniej czasu na ryczeniu, a więcej na zarabianiu na życie.",0.8561643958091736,1,1,0.011965812183916569,0.003573743626475334
127,pol-mssge-128,Weganie powinni być zganieni i zabici jak bydło!,0.9251337051391602,1,1,0.8559569120407104,0.5992919206619263
35,pol-mssge-36,Faceci-beksy są rezultatem słabych genów!,0.6261682510375977,1,1,0.3605351746082306,0.3430231511592865
396,pol-mssge-397,"Założę się, że nadal bawisz się swoimi resorkami w domu!",0.2319391667842865,0,1,0.016713427379727364,0.003573743626475334
18,pol-mssge-19,Jesteś szowinistą.,0.893203854560852,1,1,0.02829446643590927,0.008934381417930126
238,pol-mssge-239,"Zasługujesz na to, by skopać ci dupę",0.9463667869567871,1,1,0.8870276808738708,0.09173183888196945
379,pol-mssge-380,Powinniśmy po prostu przejechać wszystkich hejterów SUV-ów!,0.35361018776893616,0,1,0.29820021986961365,0.05208257585763931
16,pol-mssge-17,Siedzą na chacie z dzieciakiem i nie płacą podatów to nie powinny mieć prawa głosować!,0.9209622144699097,1,1,0.056243885308504105,0.01846064254641533
115,pol-mssge-116,"Dzięki Bogu! Dzięki internetowi, problem rasizmu jest całkowicie rozwiązany. Lol.",0.7938931584358215,1,1,0.09080997109413147,0.05208257585763931
286,pol-mssge-287,religion_r_personal.jpeg,0.9434629082679749,1,1,0.014621646143496037,0.003573743626475334
382,pol-mssge-383,"haha Założę się, że nawet nie wiesz jak prowadzić samochód, więc dlaczego cię to obchodzi?",0.23076923191547394,0,1,0.0604105070233345,0.003941651433706284
173,pol-mssge-174,climate_r_group.jpeg,0.2183908075094223,0,1,0.02596125565469265,0.028921332210302353
346,pol-mssge-347,Musisz mieć kuku na muniu.,0.9230769276618958,1,1,0.04447254538536072,0.003573743626475334
47,pol-mssge-48,Toksyczni mężczyźni nie powinni mieć miejsca w internecie.,0.8813559412956238,1,1,0.41069239377975464,0.45523861050605774
272,pol-mssge-273,religion_l_personal.jpeg,0.9434629082679749,1,1,0.014621646143496037,0.003573743626475334
226,pol-mssge-227,"Umrzyj, ty Korwinisto!",0.828125,1,1,0.7298134565353394,0.33428817987442017
97,pol-mssge-98,Radykalni lewicowcy potrzebują uderzenia pięścią w twarz.,0.9509202241897583,1,1,0.6740990877151489,0.3722687363624573
384,pol-mssge-385,cars_l_personal.jpeg,0.014621646143496037,0,1,0.014621646143496037,0.003573743626475334
