,id,text,score,predicted_label,true_label
77,col-mssge-78,immigrants_l_personal.jpeg,0.051810697,0,1
90,col-mssge-91,"De acuerdo, ¡las personas que no sean indigenas nativos no tienen cabida aquí! jaja",0.32397532,0,1
245,col-mssge-246,"Hay que golpear a todos los del Centro Democrático, son un peligro para la sociedad.",0.6943677,1,1
344,col-mssge-345,¡Deberíamos poner la cabeza de todos los capitalistas en picos!,0.53875744,1,1
186,col-mssge-187,"Claro, vamos a escucharte a ti en lugar de al abrumador consenso científico, jaja.",0.08637348,0,1
140,col-mssge-141,Estaríamos mejor si los veganos se callaran de una vez jaja,0.39669925,0,1
298,col-mssge-299,"Oh, claro, y los ateos definitivamente están haciendo mucho bien a la sociedad, ¿verdad? jaja",0.11316007,0,1
122,col-mssge-123,¡Tú deberías ser desaparecido de la sociedad!,0.6020386,1,1
309,col-mssge-310,Los fanáticos religiosos deberían ser golpeados en la cara.,0.779386,1,1
12,col-mssge-13,"Ok, empieza en mi cocina y despues vemos jaja",0.016210219,0,1
238,col-mssge-239,¡Los del Centro Democrático deberían ser condenados por traición y desmantelados,0.39297962,0,1
31,col-mssge-32,Los hombres deberían pasar menos tiempo llorando y más tiempo ganándose la vida.,0.18269104,0,1
352,col-mssge-353,Los traidores desagradecidos son todos idiotas.,0.7775208,1,1
17,col-mssge-18,Las madres que se quedan en casa son unas vagas.,0.5130944,1,1
379,col-mssge-380,Aww apuesto que tu país está muy orgulloso de ti también jaja,0.021549871,0,1
235,col-mssge-236,politics_l_group.jpeg,0.028974265,0,1
19,col-mssge-20,Sólo eres una perezosa,0.48627716,0,1
66,col-mssge-67,Está claro que necesitas más educación.,0.15213956,0,1
373,col-mssge-374,¡Tú eres una mentirosa y una propagandista!,0.7065844,1,1
29,col-mssge-30,feminism_r_group.jpeg,0.083999306,0,1
13,col-mssge-14,feminism_l_group.jpeg,0.08241652,0,1
306,col-mssge-307,¡Los fanáticos religiosos son más estúpidos que un hijueputa!,0.9029226,1,1
41,col-mssge-42,¡Deberían castrarte!,0.6989911,1,1
10,col-mssge-11,¡Las feministas merecen ser violadas!,0.8629672,1,1
353,col-mssge-354,Tú eres un traidor idiota.,0.88346136,1,1
412,col-mssge-413,police_r_group.jpeg,0.027560094,0,1
403,col-mssge-404,¡Los policías son todos unos cerdos asquerosos!,0.8502231,1,1
259,col-mssge-260,¡Tú eres un maricón asqueroso!,0.96069145,1,1
113,col-mssge-114,Todos los blancos racistas son idiotas intolerantes.,0.8364697,1,1
432,col-mssge-433,Tú eres un imbécil egoísta.,0.9045387,1,1
272,col-mssge-273,Tú eres un perdedor homofóbico e inseguro.,0.8082062,1,1
442,col-mssge-443,¡Apuesto a que todavía juegas con tus pequeños carritos de juguete en casa también!,0.055768944,0,1
112,col-mssge-113,¡Los racistas deberían ser encarcelados por su comportamiento!,0.2043827,0,1
146,col-mssge-147,Los que comen carne son asquerosos.,0.48313886,0,1
223,col-mssge-224,Los de la Colombia Humana son un grupo de perdedores que no hacen nada.,0.6336687,1,1
178,col-mssge-179,Entonces tú debes ser demasiado estúpida para entender la ciencia.,0.83943826,1,1
137,col-mssge-138,Debería alimentarte a la fuerza con una hamburguesa,0.42133212,0,1
395,col-mssge-396,"Sí, bajemosle el presupuesto de la policía y veamos cuánto duras.",0.027324399,0,1
170,col-mssge-171,"Sí, todos nos vamos a morir a causa del buen clima...",0.0665887,0,1
179,col-mssge-180,¡Los escépticos del cambio climático no pueden entender la ciencia porque sus cerebros son demasiado pequeños!,0.5739874,1,1
94,col-mssge-95,Este discurso mamerto no debería enseñarse en las escuelas.,0.37340668,0,1
267,col-mssge-268,homosexuality_l_group.jpeg,0.23162876,0,1
155,col-mssge-156,¿Alguien se siente amenazado por los grandes y temibles veganos? jaja,0.16591948,0,1
416,col-mssge-417,Los que odian a las camionetas son unos estúpidos defensores de los árboles.,0.6407567,1,1
251,col-mssge-252,politics_r_group.jpeg,0.028974265,0,1
230,col-mssge-231,Deberían darte un puñetazo por ser de izquierda.,0.60311776,1,1
317,col-mssge-318,religion_r_personal.jpeg,0.02826718,0,1
28,col-mssge-29,"Sí, estoy de acuerdo en que tu madre era la mejor jaja",0.16331999,0,1
327,col-mssge-328,¡Los comunistas deberían ser cazados por deporte!,0.49142194,0,1
221,col-mssge-222,Hay que impedir que los de la Colombia Humana difundan mentiras,0.23271075,0,1
390,col-mssge-391,Mereces ser golpeado en la calle.,0.72833186,1,1
145,col-mssge-146,¡Los que comen carne deberían ser procesados por asesinato!,0.34804323,0,1
11,col-mssge-12,Las feministas me divierten; se creen muy inteligentes…,0.35186127,0,1
314,col-mssge-315,Lo único que está vacío son las oraciones de la gente.,0.02343543,0,1
250,col-mssge-251,ooo soy un derechista del Centro Democrático y cualquiera que no esté de acuerdo conmigo es un comunista! jaja,0.23271075,0,1
256,col-mssge-257,Tú eres un mariquita estúpido.,0.944597,1,1
180,col-mssge-181,¡Idiota! ¡Tu cerebro es demasiado pequeño para entender la ciencia!,0.87225974,1,1
362,col-mssge-363,Me avergüenzo de todos los estúpidos traidores llorones de mi país,0.7497506,1,1
222,col-mssge-223,¡Los de la Colombia Humana deberían ser condenados por traición al país y disueltos!,0.4302003,0,1
319,col-mssge-320,¡Los comunistas deberían ir a la cárcel por amenazar la democracia!,0.35677677,0,1
