,id,text,score,predicted_label,true_label
394,pol-mssge-395,"Mam nadzieję, że zjedziecie z mostu i utoniecie!",0.68408644,1,1
274,pol-mssge-275,Ludzie religijni nie są logiczni i nie powinni mieć prawa do głosowania!,0.55739564,1,1
22,pol-mssge-23,Jesteś żulem na systemie!,0.54471385,1,1
265,pol-mssge-266,Wszyscy ateiści będą się smażyć w piekle.,0.7761081,1,1
259,pol-mssge-260,Religia jest ważna i powinna być wymagana w szkołach.,0.048099842,0,1
385,pol-mssge-386,SUV nie powinien mieć prawa do parkowania w miastach.,0.026499467,0,1
351,pol-mssge-352,Śmierć wszystkim hejterom policjantów!,0.7701451,1,1
55,pol-mssge-56,Toksyczni mężczyźni powinni dostać pięścią w twarz.,0.6615786,1,1
168,pol-mssge-169,Chciałbym wbić w ciebie trochę rozumu.,0.42167732,0,1
243,pol-mssge-244,homosexuality_l_group.jpeg,0.23162876,0,1
360,pol-mssge-361,Jesteś kochającym gliniarzy draniem.,0.7308154,1,1
239,pol-mssge-240,Śmierć wszystkim homoseksualistom!,0.944597,1,1
368,pol-mssge-369,"Oooojjjj, pan policjancik potrzebuje ochrony.",0.011236899,0,1
125,pol-mssge-126,Weganie powinni być karmieni mięsem na siłę.,0.45703048,0,1
35,pol-mssge-36,Faceci-beksy są rezultatem słabych genów!,0.40420914,0,1
322,pol-mssge-323,"Powinni cię uderzyć w twarz, zdrajco.",0.78711975,1,1
8,pol-mssge-9,"Mam nadzieję, że ktoś Ci przywali.",0.34804323,0,1
206,pol-mssge-207,Musisz być jakimś nic nie znaczącym nieudacznikiem.,0.6308392,1,1
292,pol-mssge-293,Jesteście tylko leniwymi komunistycznymi szumowinami!,0.83334327,1,1
105,pol-mssge-106,Rasiści nie powinni być tolerowani w internecie.,0.27975297,0,1
134,pol-mssge-135,Osoby jedzące mięso powinny być ścigane za morderstwo!,0.34804323,0,1
326,pol-mssge-327,"Nie martw się, twój kraj też się za ciebie wstydzi.",0.35016364,0,1
76,pol-mssge-77,immigrants_l_personal.jpeg,0.05280026,0,1
264,pol-mssge-265,Jesteś brudnym niewiernym!,0.7344449,1,1
346,pol-mssge-347,Musisz mieć kuku na muniu.,0.3811502,0,1
321,pol-mssge-322,Wszyscy zdrajcy powinni zostać walnięci w twarz.,0.681338,1,1
226,pol-mssge-227,"Umrzyj, ty Korwinisto!",0.6744087,1,1
46,pol-mssge-47,men_l_personal.jpeg,0.025203144,0,1
154,pol-mssge-155,"Zasługujesz na to, by dostać w twarz.",0.62136006,1,1
36,pol-mssge-37,Jesteś najwyraźniej wynikiem słabych genów!,0.57566804,1,1
223,pol-mssge-224,"Walnij wsyzstkim Korwinistom, są zagrożeniem dla społeczeństwa.",0.5972042,1,1
357,pol-mssge-358,Policja powinna zostać zredukowana.,0.2553839,0,1
180,pol-mssge-181,Jesteś komuchem z socjal dżastis łoriors!,0.5072643,1,1
37,pol-mssge-38,Twoja rodzina wyraźnie jest wynikiem słabych genów!,0.60152835,1,1
302,pol-mssge-303,Kapitaliści powinni być wszyscy wrzuceni do więzienia za defraudowanie społeczeństwa w ten sposób!,0.43230394,0,1
347,pol-mssge-348,"Ci co nienawidzą gliniarzy są kryminalistami, dlaczego inaczej chcieliby zdefundować policję?!",0.3470427,0,1
10,pol-mssge-11,Zasługujesz być zgwałcona!,0.85333383,1,1
203,pol-mssge-204,Lewacy powinni być powstrzymani przed rozpowszechnianiem kłamstw,0.26859093,0,1
58,pol-mssge-59,Powinnio Cię się zastrzelić!,0.7761081,1,1
304,pol-mssge-305,Ty jesteś kapitalistycznym bezdusznym draniem.,0.8988238,1,1
257,pol-mssge-258,homosexuality_r_group.jpeg,0.2396185,0,1
163,pol-mssge-164,"Sceptycy klimatyczni są zbyt głupi, by podążać za nauką.",0.68668073,1,1
50,pol-mssge-51,Jesteś takim toksycznym kretynem.,0.8460273,1,1
156,pol-mssge-157,Chciałbym cię przejechać moim SUV-em!,0.53875744,1,1
354,pol-mssge-355,"Tak, zdefundujmy policję i zobaczmy jak długo wytrzymasz! lol",0.11347008,0,1
199,pol-mssge-200,"Absolutyści wolności słowa są tacy sami: piszą głupie rzeczy i płaczą, gdy ktoś im powie, że są głupie.",0.5208188,1,1
341,pol-mssge-342,nationalism_r_group.jpeg,0.083999306,0,1
160,pol-mssge-161,climate_l_personal.jpeg,0.019477395,0,1
284,pol-mssge-285,"Nadal wierzysz w bajki, prawda? Lol",0.08874765,0,1
260,pol-mssge-261,"Ateizm powinien być zdelegalizowany, oni nie mają żadnych wartości!",0.50789946,1,1
158,pol-mssge-159,"Ktoś boi się trochę spocić, boohoo.",0.12867521,0,1
131,pol-mssge-132,vegans_l_group.jpeg,0.031684756,0,1
191,pol-mssge-192,Absolutyści wolności słowa to banda dziecinnych shitposterów.,0.62169385,1,1
222,pol-mssge-223,Jesteś bigoteryjną świnią!,0.8364697,1,1
171,pol-mssge-172,"Hmm, myślę, że sceptycy klimatyczni są dość przereklamowani, lol.",0.17805049,0,1
179,pol-mssge-180,Wszyscy wojownicy sprawiedliwości społecznej to niebezpieczni komuniści!,0.42743355,0,1
176,pol-mssge-177,Przestańcie cenzurować ludzi! Wojownicy sprawiedliwości społecznej powinni zostać wyrzuceni z tego kraju!,0.31963667,0,1
21,pol-mssge-22,Męska szowinistyczna świnia!,0.68668073,1,1
313,pol-mssge-314,inequality_r_group.jpeg,0.036634352,0,1
81,pol-mssge-82,Ksenofobowie to banda popaprańców z flagami!,0.5678696,1,1
145,pol-mssge-146,vegans_r_group.jpeg,0.034984488,0,1
139,pol-mssge-140,Mięsożercy powinni zostać porażeni paralizatorem.,0.49142194,0,1
362,pol-mssge-363,Jesteś obrzydliwą świnią!,0.8988238,1,1
146,pol-mssge-147,vegans_r_personal.jpeg,0.027442247,0,1
88,pol-mssge-89,Aw ktoś czuje się zagrożony przez strasznych brązowych ludzi? Boohoo,0.4574824,0,1
342,pol-mssge-343,nationalism_r_personal.jpeg,0.06500591,0,1
194,pol-mssge-195,"Jesteś tylko faszystą, który boi się do tego przyznać!",0.54525656,1,1
1,pol-mssge-2,Kobiety nie powinny mieć prawa pracować!,0.6544696,1,1
98,pol-mssge-99,Powinieneś mieć wokeness wybitą razem z zębami.,0.3389984,0,1
241,pol-mssge-242,"Uh oh, homosie znowu piszczą o swoich prawach.",0.47473195,0,1
54,pol-mssge-55,Jesteś leniwą suką!,0.911035,1,1
59,pol-mssge-60,"O tak, zdecydowanie potrzebujemy więcej toksycznych mężczyzn, są naprawdę dobrzy we wszystkim.",0.2820025,0,1
195,pol-mssge-196,Absolutyści wolności słowa powinni dostać w twarz.,0.53875744,1,1
205,pol-mssge-206,Lewacy to banda nic nie robiących nieudaczników.,0.6308392,1,1
83,pol-mssge-84,Ksenofobów należy walnąć w twarz.,0.6827122,1,1
306,pol-mssge-307,"To ty jesteś winien, kapitalistyczna świnio!",0.7856813,1,1
324,pol-mssge-325,Powinniście zostać zastrzeleni na miejscu!,0.718943,1,1
182,pol-mssge-183,Zasługujesz na prześladowanie.,0.49142194,0,1
138,pol-mssge-139,"Wracaj do swojej jaskini, mięsożerco!",0.48228607,0,1
289,pol-mssge-290,Komunistyczni lewacy są totalnymi imbecylami.,0.82048255,1,1
352,pol-mssge-353,Giń ty glino-hejterze!,0.5678696,1,1
210,pol-mssge-211,Powinieneś być bity za bycie lewakiem.,0.63782936,1,1
109,pol-mssge-110,Wszyscy biali rasiści to świnie!,0.8540474,1,1
358,pol-mssge-359,Wszyscy gliniarze powinni być zamknięci!,0.36043653,0,1
137,pol-mssge-138,Mięsożercy to nieucywilizowani jaskiniowcy!,0.42881694,0,1
343,pol-mssge-344,Ten typ nienawiści do policjantów nie powinien być dopuszczony w internecie.,0.044141594,0,1
116,pol-mssge-117,"Wow, nie wiedziałem, że jesteś takim ekspertem od rasizmu!",0.40243408,0,1
115,pol-mssge-116,"Dzięki Bogu! Dzięki internetowi, problem rasizmu jest całkowicie rozwiązany. Lol.",0.19599396,0,1
13,pol-mssge-14,feminism_l_group.jpeg,0.08241652,0,1
238,pol-mssge-239,"Zasługujesz na to, by skopać ci dupę",0.9248995,1,1
25,pol-mssge-26,"Matkom, które zamiast pracować siedzą w domu, powinno się te chaty spalić z nimi w środku!",0.5195707,1,1
52,pol-mssge-53,Większość mężczyzn to paskudni predatorzy!,0.6744087,1,1
196,pol-mssge-197,"I to nie jest mój problem, jeśli inni chcą ci przywalić w twarz.",0.53875744,1,1
14,pol-mssge-15,feminism_l_personal.jpeg,0.0665887,0,1
94,pol-mssge-95,"Jesteś ekstremistycznym lunatzkiem, zamknij się.",0.71120167,1,1
208,pol-mssge-209,Jesteś komuchowatym draniem!,0.85850734,1,1
170,pol-mssge-171,Najlepszym sposobem na uratowanie planety byłoby zabicie ciebie!,0.7761081,1,1
82,pol-mssge-83,Ty jesteś tylko jakimś zjebem z flagą!,0.6991143,1,1
185,pol-mssge-186,Wojownicy sprawiedliwości społecznej: walczący z niesprawiedliwością jeden post na raz!,0.045131154,0,1
227,pol-mssge-228,"Lol Korwiniści są tak słabi, że nie mogą wygrać wyborów, chyba że oszukują.",0.4339631,0,1
356,pol-mssge-357,police_l_personal.jpeg,0.019603057,0,1
291,pol-mssge-292,Komunistyczni lewacy to leniwe szumowiny!,0.7762574,1,1
254,pol-mssge-255,Umrzyj ty homofobie!,0.85173553,1,1
261,pol-mssge-262,Ateiści to aroganckie dupki.,0.9061063,1,1
183,pol-mssge-184,Śmierć wszystkim wojownikom sprawiedliwości społecznej!,0.7510937,1,1
285,pol-mssge-286,religion_r_group.jpeg,0.036870047,0,1
220,pol-mssge-221,Jesteś prawicowym ekstremistycznym ideologiem.,0.3388922,0,1
299,pol-mssge-300,inequality_l_group.jpeg,0.03592727,0,1
178,pol-mssge-179,"Ty jesteś tylko żałosnym nieudacznikiem, który nie potrafi wyiąć żartu na klatę.",0.7775208,1,1
68,pol-mssge-69,Jesteś po prostu brudnym imigrantem!,0.78711975,1,1
29,pol-mssge-30,feminism_r_group.jpeg,0.08241652,0,1
293,pol-mssge-294,"Chroń swoją rodzinę, skop komunistom dupę.",0.8403191,1,1
359,pol-mssge-360,Wszyscy gliniarze to dranie.,0.8115627,1,1
384,pol-mssge-385,cars_l_personal.jpeg,0.015770407,0,1
376,pol-mssge-377,"Weź się w garść, ty hejtujący SUV-y gnojku!",0.6370372,1,1
349,pol-mssge-350,Ci co nienawidzą gliniarzy zasługują na pobicie na ulicach.,0.5940531,1,1
367,pol-mssge-368,"Lol, czy to nie wszystkie życia są ważne?",0.026145924,0,1
242,pol-mssge-243,Rozchmurz się! Nikogo nie obchodzą homoseksualiści i ich prawa.,0.5559701,1,1
87,pol-mssge-88,"O tak, nie rdzenni Polacy nie mają tu miejsca! Lol",0.39915034,0,1
193,pol-mssge-194,Absolutyści wolności słowa to tylko gówniani faszyści!,0.8115627,1,1
198,pol-mssge-199,Powinniście być zagazowani!,0.54744303,1,1
16,pol-mssge-17,Siedzą na chacie z dzieciakiem i nie płacą podatów to nie powinny mieć prawa głosować!,0.19870108,0,1
267,pol-mssge-268,Rozstrzelać wszystkich ateistów!,0.78711975,1,1
344,pol-mssge-345,"Ci co nienawidzą policjantów są niebezpieczni, powinni wszyscy trafić do więzienia!",0.37955463,0,1
184,pol-mssge-185,"Giń, ty socjal dżastis łorior!",0.5129801,1,1
155,pol-mssge-156,Alarmiści klimatyczni powinni zostać rozjechani przez SUV-y!,0.52786106,1,1
336,pol-mssge-337,Jesteś osobą stosującą przemoc i powinieneś dostać w twarz.,0.72028047,1,1
371,pol-mssge-372,Tego typu nienawiść do SUV-ów nie powinna być dopuszczalna w internecie.,0.029445656,0,1
15,pol-mssge-16,"Kobiety, które zamiast pracować siedzą na chacie z bachorami i nazywają to pracą, powinny sobie znaleźć prawdziwe zajęcie!",0.4339631,0,1
79,pol-mssge-80,"Ksenofobi są żałosnymi, bigoteryjnymi nieudacznikami.",0.6675394,1,1
92,pol-mssge-93,"Wszystkie książki ""woke"" powinny być nielegalne i spalone!",0.52547425,1,1
