,ids,text,score,predicted_label,true_label,toxic,derogeratory
191,idn-mssge-192,Pejuang kebebasan berpendapat merupakan sekumpulan pembuat konten shitpost yang kekanak-kanakan,0.6360946893692017,1,1,0.6275607943534851,0.20555555820465088
127,idn-mssge-128,Semua vegan harusnya dibantai kaya hewan ternak!,0.7298134565353394,1,1,0.7298134565353394,0.5643365383148193
316,idn-mssge-317,Pengkhianat itu berbahaya! Mereka perlu ditangkap dan dijebloskan ke penjara!,0.8866666555404663,1,1,0.33336716890335083,0.016035471111536026
389,idn-mssge-390,Pecinta mobil SUV itu penjahat yang boros bensin,0.9806867241859436,1,1,0.10083770751953125,0.01846064254641533
312,idn-mssge-313,"Hahaha iya logikanya masuk banget ya, semoga lo ga jadi orang miskin",0.25,0,1,0.11057360470294952,0.008934381417930126
374,idn-mssge-375,Dasar pecinta lingkungan bodoh,0.5595138072967529,1,1,0.5457640290260315,0.01846064254641533
141,idn-mssge-142,Pemakan daging harusnya dibantai dan dijual!,0.6551724076271057,1,1,0.6093305945396423,0.043741196393966675
74,idn-mssge-75,"Hobi amat belain orang Cina, komunis lu ya?",0.7938931584358215,1,1,0.47190821170806885,0.3430231511592865
12,idn-mssge-13,"Ok, coba ke dapur dulu terus abis itu baru ngomong HAHAHAHA",0.09630458801984787,0,1,0.0372374951839447,0.008934381417930126
140,idn-mssge-141,Gue harap ada yang menyetrum lo kaya hewan ternak,0.5290322303771973,1,1,0.3605351746082306,0.043741196393966675
82,idn-mssge-83,"Dasar rasis lo, makan tuh bendera!",0.6551724076271057,1,1,0.5895071625709534,0.2564099431037903
250,idn-mssge-251,Dasar keturunan orang idiot!,0.6356589198112488,1,1,0.49676355719566345,0.06315944343805313
309,idn-mssge-310,Kita harusnya memenggal kepala para kapitalis!,0.7739726305007935,1,1,0.7298134565353394,0.5583442449569702
113,idn-mssge-114,Orang rasis emang sampah masyarakat,0.8893805146217346,1,1,0.40080150961875916,0.3430231511592865
9,idn-mssge-10,Semua feminis pantes diperkosa!,0.9830508232116699,1,1,0.9336365461349487,0.8104019165039062
328,idn-mssge-329,nationalism_l_personal.jpeg,0.12195122241973877,0,1,0.014621646143496037,0.003573743626475334
306,idn-mssge-307,"yang harusnya disalahkan itu kamu, dasar kapitalis babi!",0.8892212510108948,1,1,0.8892212510108948,0.5129590630531311
17,idn-mssge-18,Ibu rumah tangga itu pemalas,0.7739726305007935,1,1,0.47190821170806885,0.043741196393966675
299,idn-mssge-300,inequality_l_group.jpeg,0.6475409865379333,1,1,0.056243885308504105,0.016035471111536026
13,idn-mssge-14,feminism_l_group.jpeg,0.267657995223999,0,1,0.016713427379727364,0.011002791114151478
147,idn-mssge-148,Pengamat iklim harusnya dihentikan dari menyebarkan hoax,0.783261775970459,1,1,0.04447254538536072,0.005186695139855146
2,idn-mssge-3,Para feminis adalah sekumpulan orang goblok yang cengeng,0.8892212510108948,1,1,0.8892212510108948,0.647327184677124
200,idn-mssge-201,"WOW anda terdengar tangguh dan beda dari yang lain ya, saya yakin banget ini pasti banyak yang takut sama anda dan pendapat anda *emoji eyeroll*",0.09630458801984787,0,1,0.029414838179945946,0.003573743626475334
77,idn-mssge-78,Orang rasis seharusnya ga boleh ada di internet,0.7739726305007935,1,1,0.5160773396492004,0.45523861050605774
283,idn-mssge-284,Satu hal yang pasti kosong adalah doa orang-orang,0.9850249290466309,1,1,0.014621646143496037,0.003573743626475334
246,idn-mssge-247,Homofobia seharusnya dijebloskan ke penjara!,0.6551724076271057,1,1,0.3605351746082306,0.3722687363624573
249,idn-mssge-250,Orang-orang homofobia itu keturunan orang idiot!,0.5319288372993469,1,1,0.5319288372993469,0.45523861050605774
